ベンダ,"GRAPHTEC Corporation"
モデル,"GL2000"
バージョン,"Ver1.10  ","Rev0001"
最大CH数,4
Logic/Pulse,Off
温度単位,C
測定間隔,1s
測定点数,       707
トリガ点,         0
開始時刻,2021-07-31,10:34:12
終了時刻,2021-07-31,10:45:59
トリガ時刻,2021-07-31,10:34:13
アンプ設定
CH,信号名,アンプ,入力,レンジ,フィルタ,スパン,,単位,線色,,,線幅
CH1,"CH1","M",DC,10V,Off,+5.000,-5.000,V,28,5,6,0
CH2,"CH2","M",DC,10V,Off,+5.000,-5.000,V,0,13,23,0
XY設定
XY,トレース,X軸,Y軸
XY1,On,CH1,CH2
XY2,Off,CH1,CH3
XY3,Off,CH1,CH4
XY4,Off,CH1,CH2
ポジション・バーニア設定
CH,ポジション,バーニア
CH1,50%,100.0%
CH2,50%,100.0%
CH3,50%,100.0%
CH4,50%,100.0%
測定値
番号,日付,時間,us,CH1,CH2,Alarm,AlarmOut
NO.,Date,Time,us,"V","V","A1234","AO1234"
         1,2021/7/31,10:34:13,     0,- 0.009,- 0.013,LLLL,LLLL
         2,2021/7/31,10:34:14,     0,- 0.007,- 0.015,LLLL,LLLL
         3,2021/7/31,10:34:15,     0,- 0.009,- 0.026,LLLL,LLLL
         4,2021/7/31,10:34:16,     0,- 0.013,- 0.023,LLLL,LLLL
         5,2021/7/31,10:34:17,     0,- 0.011,- 0.018,LLLL,LLLL
         6,2021/7/31,10:34:18,     0,- 0.013,- 0.025,LLLL,LLLL
         7,2021/7/31,10:34:19,     0,- 0.007,- 0.023,LLLL,LLLL
         8,2021/7/31,10:34:20,     0,- 0.013,- 0.025,LLLL,LLLL
         9,2021/7/31,10:34:21,     0,- 0.008,- 0.018,LLLL,LLLL
        10,2021/7/31,10:34:22,     0,- 0.013,- 0.017,LLLL,LLLL
        11,2021/7/31,10:34:23,     0,- 0.013,- 0.034,LLLL,LLLL
        12,2021/7/31,10:34:24,     0,- 0.011,- 0.018,LLLL,LLLL
        13,2021/7/31,10:34:25,     0,- 0.008,- 0.034,LLLL,LLLL
        14,2021/7/31,10:34:26,     0,- 0.011,- 0.019,LLLL,LLLL
        15,2021/7/31,10:34:27,     0,- 0.020,- 0.026,LLLL,LLLL
        16,2021/7/31,10:34:28,     0,- 0.012,- 0.031,LLLL,LLLL
        17,2021/7/31,10:34:29,     0,- 0.016,- 0.024,LLLL,LLLL
        18,2021/7/31,10:34:30,     0,- 0.679,- 0.075,LLLL,LLLL
        19,2021/7/31,10:34:31,     0,- 0.910,+ 2.855,LLLL,LLLL
        20,2021/7/31,10:34:32,     0,- 0.729,+ 1.926,LLLL,LLLL
        21,2021/7/31,10:34:33,     0,- 0.833,+ 1.622,LLLL,LLLL
        22,2021/7/31,10:34:34,     0,- 0.524,+ 0.525,LLLL,LLLL
        23,2021/7/31,10:34:35,     0,- 1.139,+ 3.657,LLLL,LLLL
        24,2021/7/31,10:34:36,     0,- 0.288,+ 0.133,LLLL,LLLL
        25,2021/7/31,10:34:37,     0,- 0.752,+ 2.503,LLLL,LLLL
        26,2021/7/31,10:34:38,     0,- 0.510,+ 0.988,LLLL,LLLL
        27,2021/7/31,10:34:39,     0,- 0.546,+ 0.757,LLLL,LLLL
        28,2021/7/31,10:34:40,     0,- 0.950,+ 2.956,LLLL,LLLL
        29,2021/7/31,10:34:41,     0,- 0.400,+ 0.003,LLLL,LLLL
        30,2021/7/31,10:34:42,     0,- 0.707,+ 2.789,LLLL,LLLL
        31,2021/7/31,10:34:43,     0,- 0.412,+ 0.413,LLLL,LLLL
        32,2021/7/31,10:34:44,     0,- 0.688,+ 1.695,LLLL,LLLL
        33,2021/7/31,10:34:45,     0,- 0.895,+ 2.553,LLLL,LLLL
        34,2021/7/31,10:34:46,     0,- 0.394,- 0.279,LLLL,LLLL
        35,2021/7/31,10:34:47,     0,- 0.833,+ 3.354,LLLL,LLLL
        36,2021/7/31,10:34:48,     0,- 0.436,+ 0.268,LLLL,LLLL
        37,2021/7/31,10:34:49,     0,- 0.685,+ 1.999,LLLL,LLLL
        38,2021/7/31,10:34:50,     0,- 0.794,+ 2.202,LLLL,LLLL
        39,2021/7/31,10:34:51,     0,- 0.306,+ 0.003,LLLL,LLLL
        40,2021/7/31,10:34:52,     0,- 0.982,+ 3.330,LLLL,LLLL
        41,2021/7/31,10:34:53,     0,- 0.395,+ 0.170,LLLL,LLLL
        42,2021/7/31,10:34:54,     0,- 0.730,+ 2.517,LLLL,LLLL
        43,2021/7/31,10:34:55,     0,- 0.439,+ 1.358,LLLL,LLLL
        44,2021/7/31,10:34:56,     0,- 0.613,+ 0.583,LLLL,LLLL
        45,2021/7/31,10:34:57,     0,- 0.877,+ 3.323,LLLL,LLLL
        46,2021/7/31,10:34:58,     0,- 0.369,+ 0.168,LLLL,LLLL
        47,2021/7/31,10:34:59,     0,- 0.750,+ 3.094,LLLL,LLLL
        48,2021/7/31,10:35:00,     0,- 0.377,+ 0.579,LLLL,LLLL
        49,2021/7/31,10:35:01,     0,- 0.331,+ 0.882,LLLL,LLLL
        50,2021/7/31,10:35:02,     0,- 0.876,+ 2.795,LLLL,LLLL
        51,2021/7/31,10:35:03,     0,- 0.393,- 0.330,LLLL,LLLL
        52,2021/7/31,10:35:04,     0,- 1.573,+ 3.273,LLLL,LLLL
        53,2021/7/31,10:35:05,     0,- 0.740,+ 0.418,LLLL,LLLL
        54,2021/7/31,10:35:06,     0,- 1.446,+ 1.640,LLLL,LLLL
        55,2021/7/31,10:35:07,     0,- 1.512,+ 1.777,LLLL,LLLL
