ベンダ,"GRAPHTEC Corporation"
モデル,"GL2000"
バージョン,"Ver1.10  ","Rev0001"
最大CH数,4
Logic/Pulse,Off
温度単位,C
測定間隔,1s
測定点数,       664
トリガ点,         0
開始時刻,2021-08-06,14:57:17
終了時刻,2021-08-06,15:08:20
トリガ時刻,2021-08-06,14:57:17
アンプ設定
CH,信号名,アンプ,入力,レンジ,フィルタ,スパン,,単位,線色,,,線幅
CH1,"CH1","M",DC,10V,Off,+5.000,-5.000,V,28,5,6,0
CH2,"CH2","M",DC,10V,Off,+5.000,-5.000,V,0,13,23,0
XY設定
XY,トレース,X軸,Y軸
XY1,On,CH1,CH2
XY2,Off,CH1,CH3
XY3,Off,CH1,CH4
XY4,Off,CH1,CH2
ポジション・バーニア設定
CH,ポジション,バーニア
CH1,50%,100.0%
CH2,50%,100.0%
CH3,50%,100.0%
CH4,50%,100.0%
測定値
番号,日付,時間,us,CH1,CH2,Alarm,AlarmOut
NO.,Date,Time,us,"V","V","A1234","AO1234"
         1,2021/8/6,14:57:17,     0,- 0.065,- 0.138,LLLL,LLLL
         2,2021/8/6,14:57:18,     0,- 0.069,- 0.153,LLLL,LLLL
         3,2021/8/6,14:57:19,     0,- 0.078,- 0.142,LLLL,LLLL
         4,2021/8/6,14:57:20,     0,- 0.084,- 0.163,LLLL,LLLL
         5,2021/8/6,14:57:21,     0,- 0.080,- 0.184,LLLL,LLLL
         6,2021/8/6,14:57:22,     0,- 0.068,- 0.095,LLLL,LLLL
         7,2021/8/6,14:57:23,     0,- 0.080,- 0.175,LLLL,LLLL
         8,2021/8/6,14:57:24,     0,- 0.060,- 0.164,LLLL,LLLL
         9,2021/8/6,14:57:25,     0,- 0.070,- 0.166,LLLL,LLLL
        10,2021/8/6,14:57:26,     0,- 0.084,- 0.145,LLLL,LLLL
        11,2021/8/6,14:57:27,     0,- 0.095,- 0.158,LLLL,LLLL
        12,2021/8/6,14:57:28,     0,- 0.079,- 0.171,LLLL,LLLL
        13,2021/8/6,14:57:29,     0,- 0.069,- 0.166,LLLL,LLLL
        14,2021/8/6,14:57:30,     0,- 0.057,- 0.169,LLLL,LLLL
        15,2021/8/6,14:57:31,     0,- 0.097,- 0.330,LLLL,LLLL
        16,2021/8/6,14:57:32,     0,- 0.220,- 0.246,LLLL,LLLL
        17,2021/8/6,14:57:33,     0,+ 0.093,- 0.012,LLLL,LLLL
        18,2021/8/6,14:57:34,     0,+ 0.064,- 0.054,LLLL,LLLL
        19,2021/8/6,14:57:35,     0,- 0.035,+ 0.161,LLLL,LLLL
        20,2021/8/6,14:57:36,     0,+ 0.041,- 0.041,LLLL,LLLL
        21,2021/8/6,14:57:37,     0,- 0.164,- 0.130,LLLL,LLLL
        22,2021/8/6,14:57:38,     0,- 0.054,- 0.139,LLLL,LLLL
        23,2021/8/6,14:57:39,     0,- 0.190,- 0.053,LLLL,LLLL
        24,2021/8/6,14:57:40,     0,- 0.069,+ 0.065,LLLL,LLLL
        25,2021/8/6,14:57:41,     0,- 0.196,- 0.508,LLLL,LLLL
        26,2021/8/6,14:57:42,     0,- 0.163,- 0.143,LLLL,LLLL
        27,2021/8/6,14:57:43,     0,- 0.249,- 0.206,LLLL,LLLL
        28,2021/8/6,14:57:44,     0,- 0.088,- 0.238,LLLL,LLLL
