ベンダ,"GRAPHTEC Corporation"
モデル,"GL2000"
バージョン,"Ver1.10  ","Rev0001"
最大CH数,4
Logic/Pulse,Off
温度単位,C
測定間隔,1s
測定点数,       647
トリガ点,         0
開始時刻,2021-08-06,14:43:03
終了時刻,2021-08-06,14:53:49
トリガ時刻,2021-08-06,14:43:03
アンプ設定
CH,信号名,アンプ,入力,レンジ,フィルタ,スパン,,単位,線色,,,線幅
CH1,"CH1","M",DC,10V,Off,+5.000,-5.000,V,28,5,6,0
CH2,"CH2","M",DC,10V,Off,+5.000,-5.000,V,0,13,23,0
XY設定
XY,トレース,X軸,Y軸
XY1,On,CH1,CH2
XY2,Off,CH1,CH3
XY3,Off,CH1,CH4
XY4,Off,CH1,CH2
ポジション・バーニア設定
CH,ポジション,バーニア
CH1,50%,100.0%
CH2,50%,100.0%
CH3,50%,100.0%
CH4,50%,100.0%
測定値
番号,日付,時間,us,CH1,CH2,Alarm,AlarmOut
NO.,Date,Time,us,"V","V","A1234","AO1234"
         1,2021/8/6,14:43:03,     0,- 0.023,- 0.081,LLLL,LLLL
         2,2021/8/6,14:43:04,     0,- 0.111,- 0.087,LLLL,LLLL
         3,2021/8/6,14:43:05,     0,- 0.132,- 0.097,LLLL,LLLL
         4,2021/8/6,14:43:06,     0,- 0.025,- 0.087,LLLL,LLLL
         5,2021/8/6,14:43:07,     0,- 0.136,- 0.105,LLLL,LLLL
         6,2021/8/6,14:43:08,     0,- 0.119,- 0.105,LLLL,LLLL
         7,2021/8/6,14:43:09,     0,- 0.059,- 0.085,LLLL,LLLL
         8,2021/8/6,14:43:10,     0,- 0.138,- 0.109,LLLL,LLLL
         9,2021/8/6,14:43:11,     0,- 0.105,- 0.106,LLLL,LLLL
        10,2021/8/6,14:43:12,     0,- 0.052,- 0.070,LLLL,LLLL
        11,2021/8/6,14:43:13,     0,- 0.115,- 0.108,LLLL,LLLL
        12,2021/8/6,14:43:14,     0,- 0.051,- 0.137,LLLL,LLLL
        13,2021/8/6,14:43:15,     0,- 0.083,- 0.083,LLLL,LLLL
        14,2021/8/6,14:43:16,     0,- 0.108,- 0.151,LLLL,LLLL
        15,2021/8/6,14:43:17,     0,- 0.087,- 0.149,LLLL,LLLL
        16,2021/8/6,14:43:18,     0,- 0.056,- 0.129,LLLL,LLLL
        17,2021/8/6,14:43:19,     0,- 0.326,- 0.269,LLLL,LLLL
        18,2021/8/6,14:43:20,     0,- 0.009,- 0.010,LLLL,LLLL
        19,2021/8/6,14:43:21,     0,+ 0.098,- 0.048,LLLL,LLLL
        20,2021/8/6,14:43:22,     0,- 0.111,- 0.210,LLLL,LLLL
        21,2021/8/6,14:43:23,     0,- 0.098,- 0.123,LLLL,LLLL
        22,2021/8/6,14:43:24,     0,- 0.023,- 0.262,LLLL,LLLL
        23,2021/8/6,14:43:25,     0,- 0.081,- 0.050,LLLL,LLLL
        24,2021/8/6,14:43:26,     0,- 0.081,- 0.293,LLLL,LLLL
        25,2021/8/6,14:43:27,     0,- 0.092,- 0.123,LLLL,LLLL
        26,2021/8/6,14:43:28,     0,- 0.113,- 0.277,LLLL,LLLL
        27,2021/8/6,14:43:29,     0,- 0.220,- 0.257,LLLL,LLLL
        28,2021/8/6,14:43:30,     0,- 0.062,+ 0.009,LLLL,LLLL
        29,2021/8/6,14:43:31,     0,- 0.180,- 0.204,LLLL,LLLL
        30,2021/8/6,14:43:32,     0,- 0.169,- 0.073,LLLL,LLLL
        31,2021/8/6,14:43:33,     0,- 0.170,- 0.163,LLLL,LLLL
        32,2021/8/6,14:43:34,     0,- 0.110,- 0.266,LLLL,LLLL
        33,2021/8/6,14:43:35,     0,- 0.012,- 0.031,LLLL,LLLL
        34,2021/8/6,14:43:36,     0,- 0.140,+ 0.134,LLLL,LLLL
        35,2021/8/6,14:43:37,     0,+ 0.038,- 0.241,LLLL,LLLL
        36,2021/8/6,14:43:38,     0,+ 0.087,- 0.077,LLLL,LLLL
        37,2021/8/6,14:43:39,     0,- 0.169,- 0.116,LLLL,LLLL
        38,2021/8/6,14:43:40,     0,- 0.079,+ 0.006,LLLL,LLLL
        39,2021/8/6,14:43:41,     0,- 0.071,- 0.275,LLLL,LLLL
        40,2021/8/6,14:43:42,     0,- 0.409,+ 0.152,LLLL,LLLL
        41,2021/8/6,14:43:43,     0,- 0.077,+ 0.004,LLLL,LLLL
        42,2021/8/6,14:43:44,     0,- 0.120,- 0.286,LLLL,LLLL
        43,2021/8/6,14:43:45,     0,- 0.052,- 0.041,LLLL,LLLL
        44,2021/8/6,14:43:46,     0,- 0.020,- 0.214,LLLL,LLLL
