0.0,-0.635332,0.000000,0.635332
15.0,-0.594965,-0.188261,0.624040
30.0,-0.516411,-0.335696,0.615932
45.0,-0.405873,-0.464686,0.616982
60.0,-0.275762,-0.550489,0.615697
75.0,-0.127217,-0.605500,0.618720
90.0,0.000000,-0.623925,0.623925
105.0,0.253555,-0.596530,0.648180
120.0,0.399517,-0.519127,0.655062
135.0,0.509333,-0.417757,0.658742
150.0,0.595726,-0.276830,0.656905
165.0,0.643007,-0.117685,0.653687
180.0,0.644637,0.000000,0.644637
195.0,0.591625,0.248744,0.641790
210.0,0.508657,0.368405,0.628056
225.0,0.414742,0.461880,0.620760
240.0,0.308498,0.534998,0.617571
255.0,0.181893,0.594352,0.621562
270.0,0.000000,0.626927,0.626927
285.0,-0.098501,0.630072,0.637725
300.0,-0.288069,0.579377,0.647041
315.0,-0.446743,0.475017,0.652089
330.0,-0.560330,0.332943,0.651783
345.0,-0.621912,0.156280,0.641247
