400	-0.000002	-0.000002	-0.000000
900	-0.111415	0.108202	0.231723
1400	-0.168648	0.182366	0.378299
1900	-0.237095	0.298270	0.581695
2400	-0.352242	0.494294	0.931744
2900	-0.000002	-0.000002	-0.000000
