-0.006,-0.004,0.766
-0.005,-0.005,0.754
-0.005,-0.006,0.759
-0.004,-0.001,0.753
-0.004,0.001,0.762
-0.005,-0.002,0.761
-0.002,-0.002,0.760
-0.003,-0.003,0.758
-0.003,-0.005,0.770
-0.002,-0.004,0.768
-0.002,-0.002,0.760
-0.003,-0.004,0.760
-0.003,-0.002,0.761
-0.003,-0.001,0.764
-0.003,-0.002,0.763
-0.003,-0.003,0.762
-0.002,-0.002,0.753
-0.005,-0.006,0.766
-0.003,-0.005,0.769
-0.003,-0.002,0.762
-0.002,-0.002,0.760
-0.002,-0.002,0.763
-0.002,-0.004,0.767
-0.003,-0.003,0.759
-0.003,-0.005,0.771
-0.003,-0.003,0.768
-0.003,-0.003,0.752
-0.002,-0.003,0.773
-0.002,-0.002,0.767
-0.003,0.000,0.768
-0.003,-0.003,0.772
-0.003,-0.002,0.756
-0.001,-0.001,0.767
-0.002,-0.002,0.776
-0.005,-0.005,0.766
-0.005,0.001,0.772
-0.004,0.000,0.758
-0.002,0.002,0.769
-0.003,-0.002,0.765
-0.004,-0.003,0.758
-0.004,-0.005,0.762
-0.007,-0.003,0.769
-0.006,-0.003,0.763
-0.003,-0.002,0.767
-0.005,-0.004,0.770
-0.004,-0.002,0.757
-0.005,-0.001,0.768
-0.005,-0.005,0.763
-0.005,-0.005,0.768
-0.005,-0.004,0.761
-0.004,-0.001,0.767
-0.007,-0.001,0.766
-0.005,-0.002,0.770
-0.006,-0.004,0.773
-0.003,-0.002,0.762
-0.005,-0.004,0.762
-0.003,-0.005,0.766
-0.005,-0.005,0.764
-0.005,-0.002,0.765
-0.002,-0.003,0.761
-0.005,-0.002,0.768
-0.005,-0.003,0.768
-0.004,-0.003,0.758
-0.004,-0.005,0.760
-0.003,-0.002,0.763
-0.005,-0.004,0.774
-0.002,-0.004,0.767
-0.003,-0.003,0.762
-0.001,-0.002,0.767
-0.002,-0.001,0.763
-0.002,0.000,0.765
-0.001,-0.004,0.773
-0.001,-0.006,0.773
-0.001,-0.005,0.768
-0.002,-0.003,0.760
-0.001,0.001,0.772
-0.001,-0.003,0.775
-0.003,-0.004,0.771
-0.002,-0.002,0.759
-0.002,0.001,0.758
-0.002,-0.002,0.760
-0.001,-0.007,0.761
0.000,-0.004,0.766
0.000,-0.002,0.770
-0.003,-0.002,0.757
-0.001,-0.003,0.762
-0.002,-0.006,0.764
-0.002,-0.003,0.772
-0.002,-0.002,0.763
-0.001,-0.004,0.769
0.000,-0.003,0.766
0.001,-0.004,0.759
-0.002,-0.002,0.770
-0.002,-0.002,0.771
0.001,-0.004,0.765
0.001,-0.003,0.763
-0.001,0.002,0.767
-0.002,-0.001,0.767
0.001,-0.002,0.765
-0.002,-0.006,0.762
-0.002,-0.003,0.759
-0.001,-0.002,0.764
0.000,-0.001,0.762
0.000,-0.003,0.766
-0.002,-0.003,0.760
-0.004,-0.001,0.766
0.000,0.001,0.763
0.001,-0.002,0.765
-0.002,-0.002,0.767
-0.002,-0.005,0.762
-0.004,-0.001,0.770
0.001,-0.002,0.763
-0.001,-0.004,0.771
-0.001,-0.004,0.774
-0.003,-0.003,0.764
0.001,-0.004,0.760
-0.001,-0.001,0.779
-0.002,-0.001,0.761
0.001,-0.006,0.759
-0.002,-0.003,0.759
0.000,0.000,0.768
-0.003,-0.002,0.765
-0.002,-0.005,0.762
0.000,-0.003,0.770
-0.003,-0.002,0.766
0.001,0.001,0.762
-0.001,-0.002,0.773
0.000,-0.005,0.760
0.001,-0.004,0.770
-0.002,-0.002,0.772
0.001,-0.001,0.762
-0.002,-0.002,0.765
-0.001,-0.004,0.761
-0.002,-0.002,0.770
-0.003,-0.001,0.767
-0.001,-0.001,0.771
-0.003,-0.003,0.761
-0.002,-0.004,0.771
-0.004,-0.003,0.759
-0.002,-0.001,0.761
-0.004,-0.003,0.775
-0.004,-0.004,0.760
-0.003,-0.006,0.768
-0.001,-0.001,0.761
-0.002,-0.002,0.758
-0.003,-0.001,0.769
0.000,-0.003,0.767
-0.001,-0.002,0.774
-0.002,-0.001,0.770
-0.001,-0.002,0.765
0.000,-0.003,0.767
0.001,-0.003,0.764
0.001,-0.002,0.769
0.000,-0.006,0.770
0.000,-0.002,0.769
0.001,-0.004,0.760
-0.001,-0.001,0.756
0.001,-0.003,0.762
-0.001,0.002,0.774
0.000,-0.003,0.760
-0.001,-0.003,0.765
0.000,-0.003,0.768
-0.003,-0.001,0.763
-0.003,-0.004,0.765
-0.004,-0.003,0.764
-0.003,-0.003,0.766
-0.002,-0.004,0.762
-0.004,-0.002,0.761
-0.004,-0.005,0.758
-0.001,-0.003,0.754
-0.002,-0.003,0.767
-0.001,0.000,0.772
-0.002,-0.001,0.762
0.000,0.001,0.771
-0.001,-0.005,0.761
0.001,-0.002,0.762
-0.001,-0.003,0.768
-0.001,-0.003,0.769
0.001,-0.005,0.763
0.001,-0.003,0.760
-0.001,-0.003,0.768
-0.002,-0.001,0.767
-0.001,-0.001,0.764
0.001,-0.004,0.766
-0.004,-0.003,0.768
-0.004,0.001,0.758
-0.003,0.000,0.771
-0.003,0.000,0.764
-0.001,-0.005,0.757
-0.002,-0.002,0.773
-0.002,-0.005,0.765
-0.003,-0.003,0.758
-0.002,-0.002,0.763
-0.001,0.000,0.764
-0.005,-0.002,0.761
-0.003,-0.001,0.766
-0.005,-0.003,0.767
-0.003,-0.003,0.760
-0.002,-0.004,0.765
-0.001,0.002,0.774
0.001,-0.001,0.756
0.000,-0.004,0.771
0.001,-0.005,0.774
-0.001,-0.004,0.763
-0.001,-0.001,0.758
-0.001,-0.001,0.767
-0.001,-0.002,0.771
