0	-0.005	-0.003	0.768	0.0
1	-0.007	-0.005	0.763	0.2
2	-0.008	-0.002	0.771	0.4
3	-0.005	-0.007	0.768	0.6
4	-0.007	-0.005	0.772	0.8
5	-0.007	-0.005	0.775	1.0
6	-0.007	-0.004	0.772	1.2
7	-0.006	-0.002	0.775	1.4
8	-0.006	-0.003	0.773	1.6
9	-0.007	-0.001	0.780	1.8
10	-0.008	-0.004	0.774	2.0
11	-0.008	-0.003	0.776	2.2
12	-0.007	-0.006	0.778	2.4
13	-0.007	-0.004	0.775	2.6
14	-0.006	-0.007	0.772	2.8
15	-0.008	-0.005	0.769	3.0
16	-0.006	-0.005	0.772	3.2
17	-0.005	-0.001	0.765	3.4
18	-0.005	-0.002	0.770	3.6
19	-0.007	-0.001	0.770	3.8
20	-0.007	-0.006	0.770	4.0
21	-0.007	-0.007	0.776	4.2
22	-0.007	-0.005	0.772	4.4
23	-0.004	-0.006	0.777	4.6
24	-0.006	-0.002	0.774	4.8
25	-0.005	-0.003	0.780	5.0
26	-0.005	-0.002	0.777	5.2
27	-0.003	-0.005	0.776	5.4
28	-0.007	-0.003	0.772	5.6
29	-0.004	-0.004	0.776	5.8
30	-0.003	-0.004	0.771	6.0
31	-0.007	-0.004	0.768	6.2
32	-0.005	-0.005	0.774	6.4
33	-0.005	-0.005	0.770	6.6
34	-0.006	-0.003	0.772	6.8
35	-0.005	-0.005	0.771	7.0
36	-0.007	-0.005	0.772	7.2
37	-0.009	-0.003	0.773	7.4
38	-0.007	-0.005	0.773	7.6
39	-0.010	-0.006	0.778	7.8
40	-0.007	-0.006	0.775	8.0
41	-0.007	-0.004	0.780	8.2
42	-0.007	-0.005	0.776	8.4
43	-0.008	0.000	0.774	8.6
44	-0.008	-0.005	0.775	8.8
45	-0.008	-0.007	0.770	9.0
46	-0.007	-0.007	0.771	9.2
47	-0.009	-0.006	0.766	9.4
48	-0.010	-0.003	0.770	9.6
49	-0.011	-0.005	0.771	9.8
50	-0.007	-0.003	0.767	10.0
51	-0.007	-0.002	0.771	10.2
52	-0.008	-0.002	0.774	10.4
53	-0.010	-0.007	0.774	10.6
54	-0.008	-0.005	0.774	10.8
55	-0.008	-0.005	0.779	11.0
56	-0.008	-0.005	0.775	11.2
57	-0.008	-0.003	0.778	11.4
58	-0.007	-0.003	0.774	11.6
59	-0.007	-0.003	0.776	11.8
60	-0.008	-0.002	0.771	12.0
61	-0.007	-0.003	0.771	12.2
62	-0.007	-0.006	0.772	12.4
63	-0.005	-0.006	0.768	12.6
64	-0.007	-0.006	0.773	12.8
65	-0.009	-0.006	0.771	13.0
66	-0.008	-0.004	0.772	13.2
67	-0.007	0.000	0.769	13.4
68	-0.009	-0.003	0.773	13.6
69	-0.008	-0.003	0.778	13.8
70	-0.007	-0.005	0.775	14.0
71	-0.009	-0.006	0.780	14.2
72	-0.007	-0.005	0.777	14.4
73	-0.006	-0.005	0.775	14.6
74	-0.007	-0.007	0.773	14.8
75	-0.005	-0.001	0.773	15.0
76	-0.006	-0.002	0.770	15.2
77	-0.007	-0.001	0.769	15.4
78	-0.007	-0.004	0.771	15.6
79	-0.007	-0.004	0.766	15.8
80	-0.007	-0.009	0.772	16.0
81	-0.006	-0.007	0.769	16.2
82	-0.006	-0.005	0.775	16.4
83	-0.006	-0.006	0.773	16.6
84	-0.006	-0.006	0.771	16.8
85	-0.006	-0.003	0.777	17.0
86	-0.007	-0.007	0.773	17.2
87	-0.005	-0.004	0.776	17.4
88	-0.007	-0.005	0.773	17.6
89	-0.006	-0.005	0.776	17.8
90	-0.005	-0.001	0.771	18.0
91	-0.007	-0.002	0.773	18.2
92	-0.007	-0.002	0.770	18.4
93	-0.006	-0.005	0.769	18.6
94	-0.005	-0.005	0.771	18.8
95	-0.009	-0.004	0.766	19.0
96	-0.007	-0.001	0.770	19.2
97	-0.006	-0.003	0.769	19.4
98	-0.007	-0.005	0.772	19.6
99	-0.007	-0.004	0.778	19.8
100	-0.008	-0.006	0.773	20.0
101	-0.009	-0.005	0.777	20.2
102	-0.006	-0.005	0.774	20.4
103	-0.009	-0.006	0.776	20.6
104	-0.010	-0.004	0.775	20.8
105	-0.007	-0.005	0.772	21.0
106	-0.008	-0.004	0.774	21.2
107	-0.007	-0.004	0.771	21.4
108	-0.009	-0.004	0.770	21.6
109	-0.007	-0.003	0.765	21.8
110	-0.009	-0.003	0.771	22.0
111	-0.008	-0.005	0.768	22.2
112	-0.008	-0.007	0.772	22.4
113	-0.008	-0.004	0.770	22.6
114	-0.009	-0.005	0.776	22.8
115	-0.006	-0.002	0.776	23.0
116	-0.009	-0.005	0.772	23.2
117	-0.005	-0.005	0.779	23.4
118	-0.007	-0.007	0.773	23.6
119	-0.005	-0.004	0.776	23.8
120	-0.005	-0.003	0.770	24.0
121	-0.006	-0.004	0.776	24.2
122	-0.005	-0.006	0.767	24.4
123	-0.007	-0.006	0.768	24.6
124	-0.007	-0.005	0.772	24.8
125	-0.007	-0.003	0.768	25.0
126	-0.007	-0.005	0.768	25.2
127	-0.007	-0.003	0.769	25.4
128	-0.006	-0.006	0.775	25.6
129	-0.005	-0.002	0.768	25.8
130	-0.007	-0.005	0.778	26.0
131	-0.008	-0.005	0.777	26.2
132	-0.007	-0.003	0.775	26.4
133	-0.008	-0.003	0.776	26.6
134	-0.007	-0.004	0.774	26.8
135	-0.007	-0.004	0.774	27.0
136	-0.007	-0.004	0.769	27.2
137	-0.007	-0.005	0.774	27.4
138	-0.008	-0.002	0.769	27.6
139	-0.009	-0.004	0.765	27.8
140	-0.009	-0.004	0.768	28.0
141	-0.007	-0.006	0.768	28.2
142	-0.005	-0.006	0.772	28.4
143	-0.007	-0.005	0.769	28.6
144	-0.007	-0.005	0.774	28.8
145	-0.009	-0.003	0.775	29.0
146	-0.007	-0.003	0.774	29.2
147	-0.007	-0.006	0.776	29.4
148	-0.007	-0.007	0.774	29.6
149	-0.009	-0.005	0.779	29.8
150	-0.008	-0.006	0.772	30.0
151	-0.007	-0.005	0.778	30.2
152	-0.009	-0.004	0.770	30.4
153	-0.007	-0.006	0.771	30.6
154	-0.008	-0.006	0.772	30.8
155	-0.009	-0.005	0.768	31.0
156	-0.009	-0.005	0.772	31.2
157	-0.008	-0.002	0.766	31.4
158	-0.005	-0.003	0.773	31.6
159	-0.004	-0.006	0.767	31.8
160	-0.005	-0.007	0.772	32.0
161	-0.007	-0.007	0.778	32.2
162	-0.009	-0.005	0.776	32.4
163	-0.007	-0.006	0.781	32.6
164	-0.009	-0.005	0.777	32.8
165	-0.010	-0.004	0.778	33.0
166	-0.008	-0.006	0.772	33.2
167	-0.005	-0.004	0.776	33.4
168	-0.007	-0.003	0.771	33.6
169	-0.009	-0.004	0.769	33.8
170	-0.007	-0.006	0.768	34.0
171	-0.007	-0.004	0.771	34.2
172	-0.006	-0.004	0.769	34.4
173	-0.008	-0.004	0.768	34.6
174	-0.007	-0.006	0.773	34.8
175	-0.006	-0.002	0.773	35.0
176	-0.007	-0.005	0.776	35.2
177	-0.008	-0.005	0.775	35.4
178	-0.010	-0.007	0.778	35.6
179	-0.007	-0.007	0.774	35.8
180	-0.008	-0.006	0.774	36.0
181	-0.007	-0.006	0.779	36.2
182	-0.007	-0.003	0.771	36.4
183	-0.006	-0.006	0.771	36.6
184	-0.008	-0.005	0.771	36.8
185	-0.007	-0.006	0.768	37.0
186	-0.007	-0.005	0.769	37.2
187	-0.008	-0.005	0.769	37.4
188	-0.007	-0.005	0.770	37.6
189	-0.007	-0.005	0.768	37.8
190	-0.006	-0.006	0.777	38.0
191	-0.007	-0.005	0.774	38.2
192	-0.009	-0.005	0.776	38.4
193	-0.008	-0.005	0.774	38.6
194	-0.005	-0.004	0.778	38.8
195	-0.005	-0.006	0.775	39.0
196	-0.008	-0.005	0.774	39.2
197	-0.007	-0.007	0.778	39.4
198	-0.009	-0.004	0.772	39.6
199	-0.007	-0.003	0.772	39.8
200	-0.009	-0.006	0.770	40.0
201	-0.011	-0.004	0.769	40.2
202	-0.009	-0.006	0.769	40.4
203	-0.010	-0.007	0.769	40.6
204	-0.009	-0.006	0.770	40.8
205	-0.009	-0.005	0.771	41.0
206	-0.009	-0.003	0.774	41.2
207	-0.009	-0.005	0.771	41.4
208	-0.009	-0.006	0.777	41.6
209	-0.011	-0.006	0.776	41.8
210	-0.009	-0.007	0.775	42.0
211	-0.009	-0.004	0.774	42.2
212	-0.007	-0.002	0.772	42.4
213	-0.005	-0.004	0.775	42.6
214	-0.005	-0.007	0.772	42.8
215	-0.006	-0.005	0.768	43.0
216	-0.007	-0.004	0.767	43.2
217	-0.009	-0.006	0.770	43.4
218	-0.009	-0.006	0.767	43.6
219	-0.006	-0.004	0.767	43.8
220	-0.007	-0.007	0.773	44.0
221	-0.008	-0.003	0.773	44.2
222	-0.010	-0.006	0.774	44.4
223	-0.009	-0.005	0.775	44.6
224	-0.009	-0.005	0.780	44.8
225	-0.008	-0.007	0.778	45.0
226	-0.011	-0.005	0.776	45.2
227	-0.009	-0.005	0.774	45.4
228	-0.011	-0.007	0.772	45.6
229	-0.010	-0.001	0.773	45.8
230	-0.009	-0.004	0.770	46.0
231	-0.009	-0.006	0.770	46.2
232	-0.010	-0.008	0.768	46.4
233	-0.011	-0.007	0.773	46.6
234	-0.010	-0.006	0.769	46.8
235	-0.009	-0.002	0.772	47.0
236	-0.010	-0.006	0.776	47.2
237	-0.009	-0.007	0.776	47.4
238	-0.009	-0.006	0.776	47.6
239	-0.008	-0.009	0.775	47.8
240	-0.008	-0.007	0.778	48.0
241	-0.011	-0.006	0.776	48.2
242	-0.009	-0.005	0.778	48.4
243	-0.009	-0.006	0.775	48.6
244	-0.009	-0.003	0.771	48.8
245	-0.010	-0.008	0.773	49.0
246	-0.007	-0.005	0.768	49.2
247	-0.009	-0.005	0.770	49.4
248	-0.009	-0.004	0.767	49.6
249	-0.012	-0.005	0.773	49.8
250	-0.011	-0.004	0.772	50.0
251	-0.009	-0.006	0.775	50.2
