0.0	-0.125	0.001	0.125
15.0	-0.118	-0.031	0.122
30.0	-0.104	-0.061	0.121
45.0	-0.083	-0.087	0.121
60.0	-0.058	-0.105	0.120
75.0	-0.029	-0.118	0.121
90.0	0.009	-0.123	0.123
105.0	0.042	-0.119	0.126
120.0	0.073	-0.105	0.127
135.0	0.096	-0.086	0.128
150.0	0.114	-0.058	0.128
165.0	0.125	-0.027	0.128
180.0	0.127	0.008	0.127
195.0	0.118	0.041	0.124
210.0	0.102	0.067	0.122
225.0	0.085	0.087	0.121
240.0	0.065	0.102	0.121
255.0	0.042	0.115	0.123
270.0	0.015	0.123	0.124
285.0	-0.016	0.125	0.126
300.0	-0.052	0.117	0.128
315.0	-0.084	0.097	0.129
330.0	-0.107	0.070	0.128
345.0	-0.121	0.036	0.126
