0.0	-0.639	-0.027	0.640
15.0	-0.607	-0.203	0.639
30.0	-0.528	-0.360	0.639
45.0	-0.412	-0.488	0.639
60.0	-0.269	-0.579	0.638
75.0	-0.111	-0.628	0.638
90.0	0.050	-0.636	0.638
105.0	0.205	-0.604	0.638
120.0	0.346	-0.537	0.638
135.0	0.464	-0.439	0.639
150.0	0.555	-0.316	0.639
165.0	0.615	-0.176	0.639
180.0	0.639	-0.025	0.639
195.0	0.626	0.129	0.639
210.0	0.575	0.278	0.639
225.0	0.488	0.412	0.639
240.0	0.368	0.522	0.638
255.0	0.219	0.599	0.638
270.0	0.052	0.636	0.638
285.0	-0.123	0.626	0.638
300.0	-0.291	0.568	0.638
315.0	-0.439	0.464	0.639
330.0	-0.552	0.322	0.639
345.0	-0.621	0.154	0.639
