0.0	-0.636	0.056	0.639
15.0	-0.621	-0.145	0.637
30.0	-0.541	-0.332	0.635
45.0	-0.407	-0.484	0.633
60.0	-0.236	-0.585	0.631
75.0	-0.051	-0.628	0.630
90.0	0.130	-0.615	0.629
105.0	0.292	-0.558	0.629
120.0	0.425	-0.466	0.630
135.0	0.526	-0.351	0.632
150.0	0.594	-0.223	0.634
165.0	0.630	-0.089	0.636
180.0	0.636	0.046	0.637
195.0	0.612	0.176	0.637
210.0	0.561	0.298	0.635
225.0	0.484	0.407	0.633
240.0	0.383	0.499	0.629
255.0	0.261	0.570	0.627
270.0	0.120	0.613	0.625
285.0	-0.034	0.625	0.626
300.0	-0.195	0.597	0.628
315.0	-0.351	0.526	0.632
330.0	-0.488	0.407	0.636
345.0	-0.589	0.247	0.638
