ベンダ,"GRAPHTEC Corporation"
モデル,"GL2000"
バージョン,"Ver1.10  ","Rev0001"
最大CH数,4
Logic/Pulse,Off
温度単位,C
測定間隔,1s
測定点数,       654
トリガ点,         0
開始時刻,2021-07-31,11:40:06
終了時刻,2021-07-31,11:51:00
トリガ時刻,2021-07-31,11:40:06
アンプ設定
CH,信号名,アンプ,入力,レンジ,フィルタ,スパン,,単位,線色,,,線幅
CH1,"CH1","M",DC,10V,Off,+5.000,-5.000,V,28,5,6,0
CH2,"CH2","M",DC,10V,Off,+5.000,-5.000,V,0,13,23,0
XY設定
XY,トレース,X軸,Y軸
XY1,On,CH1,CH2
XY2,Off,CH1,CH3
XY3,Off,CH1,CH4
XY4,Off,CH1,CH2
ポジション・バーニア設定
CH,ポジション,バーニア
CH1,50%,100.0%
CH2,50%,100.0%
CH3,50%,100.0%
CH4,50%,100.0%
測定値
番号,日付,時間,us,CH1,CH2,Alarm,AlarmOut
NO.,Date,Time,us,"V","V","A1234","AO1234"
         1,2021/7/31,11:40:06,     0,- 0.025,- 0.013,LLLL,LLLL
         2,2021/7/31,11:40:07,     0,- 0.029,- 0.009,LLLL,LLLL
         3,2021/7/31,11:40:08,     0,- 0.028,- 0.005,LLLL,LLLL
         4,2021/7/31,11:40:09,     0,- 0.035,- 0.003,LLLL,LLLL
         5,2021/7/31,11:40:10,     0,- 0.027,- 0.004,LLLL,LLLL
         6,2021/7/31,11:40:11,     0,- 0.033,- 0.010,LLLL,LLLL
         7,2021/7/31,11:40:12,     0,- 0.034,+ 0.006,LLLL,LLLL
         8,2021/7/31,11:40:13,     0,- 0.023,- 0.007,LLLL,LLLL
         9,2021/7/31,11:40:14,     0,- 0.013,- 0.005,LLLL,LLLL
        10,2021/7/31,11:40:15,     0,- 0.011,- 0.006,LLLL,LLLL
        11,2021/7/31,11:40:16,     0,- 0.012,+ 0.001,LLLL,LLLL
        12,2021/7/31,11:40:17,     0,- 0.013,- 0.010,LLLL,LLLL
        13,2021/7/31,11:40:18,     0,- 0.020,- 0.005,LLLL,LLLL
        14,2021/7/31,11:40:19,     0,- 0.021,+ 0.009,LLLL,LLLL
        15,2021/7/31,11:40:20,     0,- 0.022,- 0.004,LLLL,LLLL
        16,2021/7/31,11:40:21,     0,- 0.012,- 0.005,LLLL,LLLL
        17,2021/7/31,11:40:22,     0,- 0.012,- 0.009,LLLL,LLLL
        18,2021/7/31,11:40:23,     0,- 0.005,- 0.001,LLLL,LLLL
        19,2021/7/31,11:40:24,     0,- 0.007,+ 0.005,LLLL,LLLL
        20,2021/7/31,11:40:25,     0,- 0.007,- 0.003,LLLL,LLLL
        21,2021/7/31,11:40:26,     0,- 0.006,- 0.003,LLLL,LLLL
        22,2021/7/31,11:40:27,     0,- 0.005,+ 0.000,LLLL,LLLL
        23,2021/7/31,11:40:28,     0,- 0.007,- 0.004,LLLL,LLLL
        24,2021/7/31,11:40:29,     0,- 0.007,+ 0.001,LLLL,LLLL
        25,2021/7/31,11:40:30,     0,- 0.004,- 0.013,LLLL,LLLL
        26,2021/7/31,11:40:31,     0,- 0.003,+ 0.005,LLLL,LLLL
        27,2021/7/31,11:40:32,     0,- 0.008,- 0.005,LLLL,LLLL
        28,2021/7/31,11:40:33,     0,- 0.008,+ 0.000,LLLL,LLLL
        29,2021/7/31,11:40:34,     0,- 0.005,- 0.011,LLLL,LLLL
        30,2021/7/31,11:40:35,     0,- 0.007,- 0.004,LLLL,LLLL
        31,2021/7/31,11:40:36,     0,- 0.007,- 0.017,LLLL,LLLL
        32,2021/7/31,11:40:37,     0,- 0.004,- 0.007,LLLL,LLLL
        33,2021/7/31,11:40:38,     0,- 0.007,- 0.001,LLLL,LLLL
        34,2021/7/31,11:40:39,     0,- 0.009,- 0.004,LLLL,LLLL
        35,2021/7/31,11:40:40,     0,- 0.005,+ 0.006,LLLL,LLLL
        36,2021/7/31,11:40:41,     0,- 0.007,+ 0.004,LLLL,LLLL
        37,2021/7/31,11:40:42,     0,- 0.010,+ 0.002,LLLL,LLLL
        38,2021/7/31,11:40:43,     0,- 0.008,+ 0.002,LLLL,LLLL
        39,2021/7/31,11:40:44,     0,- 0.009,- 0.003,LLLL,LLLL
        40,2021/7/31,11:40:45,     0,- 0.010,+ 0.002,LLLL,LLLL
        41,2021/7/31,11:40:46,     0,- 0.009,+ 0.000,LLLL,LLLL
        42,2021/7/31,11:40:47,     0,- 0.009,- 0.003,LLLL,LLLL
        43,2021/7/31,11:40:48,     0,- 0.011,- 0.008,LLLL,LLLL
        44,2021/7/31,11:40:49,     0,- 0.014,- 0.002,LLLL,LLLL
        45,2021/7/31,11:40:50,     0,- 0.014,+ 0.010,LLLL,LLLL
        46,2021/7/31,11:40:51,     0,- 0.012,- 0.010,LLLL,LLLL
        47,2021/7/31,11:40:52,     0,- 0.012,+ 0.002,LLLL,LLLL
        48,2021/7/31,11:40:53,     0,- 0.014,- 0.002,LLLL,LLLL
        49,2021/7/31,11:40:54,     0,- 0.027,- 0.028,LLLL,LLLL
        50,2021/7/31,11:40:55,     0,- 0.013,+ 0.026,LLLL,LLLL
        51,2021/7/31,11:40:56,     0,- 0.021,+ 0.055,LLLL,LLLL
        52,2021/7/31,11:40:57,     0,- 0.049,+ 0.004,LLLL,LLLL
        53,2021/7/31,11:40:58,     0,+ 0.006,+ 0.015,LLLL,LLLL
        54,2021/7/31,11:40:59,     0,+ 0.010,+ 0.015,LLLL,LLLL
        55,2021/7/31,11:41:00,     0,- 0.041,- 0.020,LLLL,LLLL
