ベンダ,"GRAPHTEC Corporation"
モデル,"GL2000"
バージョン,"Ver1.10  ","Rev0001"
最大CH数,4
Logic/Pulse,Off
温度単位,C
測定間隔,1s
測定点数,       653
トリガ点,         0
開始時刻,2021-08-06,15:51:43
終了時刻,2021-08-06,16:02:36
トリガ時刻,2021-08-06,15:51:43
アンプ設定
CH,信号名,アンプ,入力,レンジ,フィルタ,スパン,,単位,線色,,,線幅
CH1,"CH1","M",DC,10V,Off,+5.000,-5.000,V,28,5,6,0
CH2,"CH2","M",DC,10V,Off,+5.000,-5.000,V,0,13,23,0
XY設定
XY,トレース,X軸,Y軸
XY1,On,CH1,CH2
XY2,Off,CH1,CH3
XY3,Off,CH1,CH4
XY4,Off,CH1,CH2
ポジション・バーニア設定
CH,ポジション,バーニア
CH1,50%,100.0%
CH2,50%,100.0%
CH3,50%,100.0%
CH4,50%,100.0%
測定値
番号,日付,時間,us,CH1,CH2,Alarm,AlarmOut
NO.,Date,Time,us,"V","V","A1234","AO1234"
         1,2021/8/6,15:51:43,     0,- 0.045,- 0.082,LLLL,LLLL
         2,2021/8/6,15:51:44,     0,- 0.058,- 0.076,LLLL,LLLL
         3,2021/8/6,15:51:45,     0,- 0.049,- 0.085,LLLL,LLLL
         4,2021/8/6,15:51:46,     0,- 0.069,- 0.085,LLLL,LLLL
         5,2021/8/6,15:51:47,     0,- 0.065,- 0.046,LLLL,LLLL
         6,2021/8/6,15:51:48,     0,- 0.066,- 0.101,LLLL,LLLL
         7,2021/8/6,15:51:49,     0,- 0.069,- 0.101,LLLL,LLLL
         8,2021/8/6,15:51:50,     0,- 0.077,- 0.101,LLLL,LLLL
         9,2021/8/6,15:51:51,     0,- 0.067,- 0.096,LLLL,LLLL
        10,2021/8/6,15:51:52,     0,- 0.077,- 0.079,LLLL,LLLL
        11,2021/8/6,15:51:53,     0,- 0.061,- 0.085,LLLL,LLLL
        12,2021/8/6,15:51:54,     0,- 0.078,- 0.089,LLLL,LLLL
        13,2021/8/6,15:51:55,     0,- 0.108,- 0.122,LLLL,LLLL
        14,2021/8/6,15:51:56,     0,- 0.001,- 0.039,LLLL,LLLL
        15,2021/8/6,15:51:57,     0,- 0.026,- 0.163,LLLL,LLLL
        16,2021/8/6,15:51:58,     0,- 0.127,- 0.363,LLLL,LLLL
        17,2021/8/6,15:51:59,     0,- 0.053,+ 0.084,LLLL,LLLL
        18,2021/8/6,15:52:00,     0,- 0.184,+ 0.041,LLLL,LLLL
        19,2021/8/6,15:52:01,     0,+ 0.102,- 0.042,LLLL,LLLL
        20,2021/8/6,15:52:02,     0,- 0.120,- 0.209,LLLL,LLLL
        21,2021/8/6,15:52:03,     0,- 0.124,- 0.075,LLLL,LLLL
        22,2021/8/6,15:52:04,     0,- 0.134,- 0.197,LLLL,LLLL
        23,2021/8/6,15:52:05,     0,- 0.245,- 0.127,LLLL,LLLL
        24,2021/8/6,15:52:06,     0,- 0.134,+ 0.088,LLLL,LLLL
        25,2021/8/6,15:52:07,     0,+ 0.071,- 0.063,LLLL,LLLL
        26,2021/8/6,15:52:08,     0,- 0.050,- 0.314,LLLL,LLLL
        27,2021/8/6,15:52:09,     0,- 0.038,- 0.173,LLLL,LLLL
        28,2021/8/6,15:52:10,     0,+ 0.071,- 0.145,LLLL,LLLL
        29,2021/8/6,15:52:11,     0,- 0.136,- 0.003,LLLL,LLLL
        30,2021/8/6,15:52:12,     0,- 0.187,- 0.209,LLLL,LLLL
        31,2021/8/6,15:52:13,     0,+ 0.031,- 0.183,LLLL,LLLL
        32,2021/8/6,15:52:14,     0,- 0.067,- 0.176,LLLL,LLLL
        33,2021/8/6,15:52:15,     0,- 0.204,- 0.082,LLLL,LLLL
        34,2021/8/6,15:52:16,     0,+ 0.061,- 0.001,LLLL,LLLL
        35,2021/8/6,15:52:17,     0,- 0.084,- 0.381,LLLL,LLLL
        36,2021/8/6,15:52:18,     0,- 0.165,- 0.037,LLLL,LLLL
        37,2021/8/6,15:52:19,     0,- 0.317,- 0.387,LLLL,LLLL
        38,2021/8/6,15:52:20,     0,+ 0.019,- 0.114,LLLL,LLLL
        39,2021/8/6,15:52:21,     0,- 0.109,- 0.198,LLLL,LLLL
        40,2021/8/6,15:52:22,     0,+ 0.123,- 0.053,LLLL,LLLL
        41,2021/8/6,15:52:23,     0,+ 0.093,- 0.312,LLLL,LLLL
        42,2021/8/6,15:52:24,     0,+ 0.061,- 0.029,LLLL,LLLL
        43,2021/8/6,15:52:25,     0,- 0.257,- 0.093,LLLL,LLLL
        44,2021/8/6,15:52:26,     0,- 0.027,- 0.012,LLLL,LLLL
        45,2021/8/6,15:52:27,     0,- 0.037,- 0.201,LLLL,LLLL
        46,2021/8/6,15:52:28,     0,- 0.220,+ 0.147,LLLL,LLLL
        47,2021/8/6,15:52:29,     0,- 0.027,- 0.008,LLLL,LLLL
        48,2021/8/6,15:52:30,     0,- 0.048,- 0.375,LLLL,LLLL
        49,2021/8/6,15:52:31,     0,+ 0.030,- 0.051,LLLL,LLLL
        50,2021/8/6,15:52:32,     0,+ 0.052,- 0.166,LLLL,LLLL
        51,2021/8/6,15:52:33,     0,- 0.167,- 0.084,LLLL,LLLL
        52,2021/8/6,15:52:34,     0,- 0.168,- 0.211,LLLL,LLLL
        53,2021/8/6,15:52:35,     0,- 0.250,- 0.063,LLLL,LLLL
