0.0	-0.632	0.081	0.637
15.0	-0.589	0.230	0.632
30.0	-0.513	0.364	0.629
45.0	-0.408	0.478	0.629
60.0	-0.279	0.566	0.631
75.0	-0.131	0.621	0.635
90.0	0.027	0.640	0.641
105.0	0.187	0.618	0.646
120.0	0.338	0.555	0.650
135.0	0.469	0.452	0.651
150.0	0.569	0.313	0.649
165.0	0.627	0.148	0.645
180.0	0.638	-0.030	0.639
195.0	0.598	-0.208	0.633
210.0	0.509	-0.370	0.629
225.0	0.380	-0.502	0.629
240.0	0.221	-0.593	0.632
255.0	0.046	-0.636	0.638
270.0	-0.129	-0.631	0.644
285.0	-0.291	-0.580	0.649
300.0	-0.429	-0.489	0.651
315.0	-0.536	-0.368	0.650
330.0	-0.606	-0.226	0.647
345.0	-0.638	-0.074	0.642
