-11.537	-0.954	0.148	0.965
2.346	-0.999	-0.099	1.004
17.103	-0.982	-0.354	1.043
32.753	-0.889	-0.598	1.071
49.245	-0.719	-0.804	1.078
66.468	-0.477	-0.946	1.059
84.261	-0.184	-1.001	1.018
102.431	0.131	-0.959	0.968
120.768	0.434	-0.821	0.929
139.055	0.692	-0.603	0.918
157.077	0.879	-0.331	0.939
174.631	0.981	-0.036	0.981
191.537	0.995	0.251	1.026
207.654	0.932	0.506	1.061
222.897	0.808	0.713	1.077
237.247	0.639	0.864	1.074
250.755	0.444	0.958	1.056
263.532	0.236	1.000	1.027
275.739	0.025	0.993	0.993
287.569	-0.182	0.944	0.961
299.232	-0.378	0.855	0.935
310.945	-0.560	0.729	0.920
322.923	-0.723	0.568	0.919
335.369	-0.857	0.373	0.935
