0	0.009	-0.003	0.757
1	0.005	-0.002	0.768
2	0.005	-0.002	0.759
3	0.005	-0.002	0.763
4	0.004	-0.003	0.771
5	0.005	-0.003	0.767
6	0.003	-0.003	0.770
7	0.002	-0.002	0.772
8	-0.001	-0.001	0.758
9	-0.001	-0.005	0.765
10	-0.001	-0.007	0.777
11	-0.001	-0.004	0.770
12	-0.001	-0.002	0.758
13	0.001	-0.006	0.765
14	-0.004	-0.003	0.769
15	-0.002	-0.001	0.771
16	0.001	-0.002	0.765
17	-0.002	-0.001	0.767
18	-0.001	-0.005	0.769
19	-0.002	-0.006	0.774
20	-0.001	-0.003	0.769
21	-0.003	-0.001	0.766
22	0.000	0.001	0.767
23	0.000	-0.002	0.774
24	0.003	-0.003	0.768
25	0.003	-0.002	0.768
26	0.001	-0.003	0.766
27	0.001	-0.002	0.766
28	0.000	-0.003	0.772
29	0.004	-0.004	0.765
30	0.005	-0.002	0.766
31	0.002	-0.003	0.767
32	0.003	0.001	0.771
33	0.005	-0.002	0.763
34	0.004	-0.004	0.768
35	0.008	-0.004	0.771
36	0.007	-0.003	0.777
37	0.007	-0.003	0.772
38	0.007	-0.001	0.767
39	0.005	-0.003	0.767
40	0.005	0.002	0.766
41	0.005	-0.002	0.774
42	0.008	0.001	0.778
43	0.006	-0.004	0.771
44	0.010	-0.004	0.763
45	0.007	-0.002	0.774
46	0.005	0.001	0.771
47	0.005	-0.001	0.763
48	0.006	-0.004	0.765
49	0.006	-0.003	0.770
50	0.005	-0.003	0.772
51	0.004	-0.005	0.765
52	0.008	-0.002	0.761
53	0.005	-0.006	0.768
54	0.007	-0.002	0.771
55	0.005	0.000	0.765
56	0.006	0.001	0.773
57	0.003	-0.003	0.761
58	0.004	-0.002	0.760
59	0.004	-0.003	0.766
60	0.005	-0.001	0.772
61	0.002	-0.002	0.773
62	0.001	-0.002	0.769
63	0.004	-0.004	0.761
64	0.003	0.001	0.768
65	0.002	-0.002	0.770
66	0.004	-0.002	0.764
67	0.004	-0.004	0.767
68	0.004	-0.005	0.761
69	0.001	-0.004	0.767
70	0.003	-0.003	0.766
71	0.004	0.000	0.765
72	0.002	-0.001	0.765
73	0.003	-0.002	0.759
74	0.006	-0.002	0.772
75	0.004	0.000	0.773
76	0.005	-0.005	0.762
77	0.007	-0.004	0.767
78	0.006	-0.006	0.758
79	0.008	-0.005	0.767
80	0.010	-0.001	0.764
81	0.006	-0.003	0.767
82	0.006	-0.004	0.763
83	0.009	-0.004	0.767
84	0.009	-0.004	0.766
85	0.009	-0.007	0.774
86	0.009	-0.003	0.769
87	0.009	-0.005	0.772
88	0.010	-0.002	0.766
89	0.010	-0.002	0.767
90	0.009	-0.002	0.762
91	0.007	-0.007	0.769
92	0.009	-0.009	0.760
93	0.008	-0.009	0.771
94	0.007	-0.005	0.766
95	0.007	-0.005	0.761
96	0.007	-0.004	0.775
97	0.007	-0.005	0.773
98	0.006	-0.008	0.762
99	0.005	-0.003	0.763
100	0.005	-0.005	0.774
101	0.002	-0.009	0.761
102	0.002	-0.006	0.770
103	0.003	-0.005	0.763
104	0.002	-0.006	0.762
105	0.003	-0.001	0.777
106	0.001	-0.005	0.771
107	0.000	-0.005	0.759
108	-0.001	-0.005	0.762
109	0.001	-0.005	0.775
110	-0.001	-0.006	0.773
111	0.002	-0.003	0.760
112	0.002	-0.004	0.758
113	0.001	-0.001	0.758
114	0.001	-0.001	0.771
115	0.000	-0.004	0.762
116	0.001	-0.006	0.766
117	0.001	-0.005	0.762
118	0.002	-0.005	0.768
119	0.001	-0.005	0.771
120	0.003	-0.005	0.772
121	0.003	-0.005	0.772
122	0.000	-0.003	0.771
123	-0.001	-0.006	0.762
124	0.001	-0.002	0.765
125	0.001	-0.005	0.768
126	0.001	-0.007	0.766
127	0.001	-0.005	0.761
128	0.002	-0.001	0.764
129	0.000	-0.001	0.770
130	0.001	-0.001	0.771
131	0.002	-0.003	0.767
132	0.001	-0.003	0.770
133	0.001	-0.004	0.761
134	-0.003	-0.003	0.767
135	-0.005	-0.003	0.770
136	-0.005	-0.001	0.766
137	-0.005	-0.001	0.771
138	-0.004	0.001	0.764
139	-0.005	-0.002	0.762
140	-0.006	-0.003	0.760
141	-0.005	-0.004	0.776
142	-0.004	-0.002	0.775
143	-0.003	0.001	0.762
144	-0.003	0.000	0.763
145	-0.002	0.000	0.768
146	0.000	0.001	0.776
147	-0.002	-0.001	0.765
148	0.001	-0.001	0.762
149	0.000	0.001	0.766
150	0.002	-0.002	0.760
151	0.001	-0.002	0.769
152	0.003	0.000	0.769
153	0.002	0.002	0.769
154	0.005	-0.001	0.762
155	0.003	-0.001	0.771
156	0.004	0.001	0.770
157	0.003	0.000	0.771
158	0.005	-0.001	0.768
159	0.004	-0.004	0.773
160	0.002	-0.004	0.773
161	0.004	-0.001	0.766
162	0.004	0.001	0.772
163	0.006	0.001	0.765
164	0.006	-0.002	0.766
165	0.004	-0.005	0.768
166	0.003	-0.006	0.759
167	0.003	-0.005	0.765
168	0.002	-0.003	0.762
169	0.004	-0.002	0.780
170	0.004	-0.001	0.763
171	0.002	-0.002	0.766
172	-0.001	0.000	0.758
173	-0.002	-0.005	0.768
174	0.002	-0.006	0.771
175	0.001	-0.007	0.758
176	0.001	-0.004	0.767
177	0.000	-0.003	0.763
178	0.003	-0.001	0.777
179	0.003	-0.001	0.762
180	0.003	-0.003	0.768
181	0.003	-0.002	0.760
182	0.005	-0.001	0.765
183	0.004	-0.004	0.773
184	0.004	-0.006	0.757
185	0.005	-0.003	0.762
186	0.006	-0.001	0.767
187	0.009	0.003	0.770
188	0.007	0.000	0.772
189	0.005	-0.003	0.761
190	0.007	-0.003	0.768
191	0.008	-0.006	0.768
192	0.004	-0.005	0.769
193	0.005	-0.005	0.765
194	0.007	-0.002	0.761
195	0.003	0.000	0.763
196	0.003	0.003	0.762
197	0.004	-0.002	0.766
198	0.005	-0.004	0.760
199	0.003	-0.008	0.757
200	0.003	-0.008	0.767
201	0.002	-0.005	0.780
202	0.001	-0.002	0.767
203	0.003	0.000	0.766
204	0.004	0.002	0.763
205	0.005	0.001	0.765
206	0.003	-0.002	0.771
207	0.001	-0.006	0.763
208	0.001	-0.007	0.762
209	0.003	-0.005	0.768
210	0.002	-0.002	0.771
211	0.003	0.001	0.768
212	0.005	0.002	0.771
213	0.003	0.001	0.772
214	0.004	-0.004	0.763
215	0.004	-0.002	0.767
216	0.004	-0.002	0.767
217	0.003	-0.002	0.760
218	0.002	-0.002	0.767
219	0.002	-0.001	0.761
220	0.002	0.001	0.759
221	0.000	-0.001	0.759
222	0.002	-0.003	0.766
223	0.001	-0.008	0.760
