-0.183347,-0.636003,0.057000,0.638552
14.858491,-0.611002,-0.118000,0.622292
29.909972,-0.556001,-0.281000,0.622975
44.967589,-0.464000,-0.420000,0.625856
60.027414,-0.366000,-0.512000,0.629365
75.085371,-0.205000,-0.592001,0.626490
90.137510,-0.019000,-0.620002,0.620293
105.180278,0.137001,-0.617003,0.632030
120.210761,0.292002,-0.566004,0.636887
135.226880,0.429003,-0.472004,0.637833
150.227538,0.538004,-0.348003,0.640745
165.212690,0.611004,-0.190001,0.639865
180.183347,0.641003,-0.019000,0.641285
195.141509,0.621002,0.148000,0.638394
210.090028,0.566001,0.288000,0.635060
225.032411,0.489000,0.401000,0.632394
239.972586,0.409000,0.487000,0.635964
254.914629,0.289000,0.567001,0.636405
269.862490,0.158000,0.617002,0.636911
284.819722,0.002000,0.640003,0.640006
299.789239,-0.174001,0.621004,0.644921
314.773120,-0.365003,0.519004,0.634502
329.772462,-0.505004,0.393003,0.639907
344.787310,-0.588004,0.247002,0.637776
