-0.023	-1.000	-0.000	1.000
15.031	-0.966	-0.259	1.000
30.083	-0.866	-0.500	1.000
45.130	-0.707	-0.707	1.000
60.167	-0.500	-0.866	1.000
75.193	-0.259	-0.966	1.000
90.206	-0.000	-1.000	1.000
105.205	0.259	-0.966	1.000
120.190	0.500	-0.866	1.000
135.162	0.707	-0.707	1.000
150.123	0.866	-0.500	1.000
165.076	0.966	-0.259	1.000
180.023	1.000	-0.000	1.000
194.969	0.966	0.259	1.000
209.917	0.866	0.500	1.000
224.870	0.707	0.707	1.000
239.833	0.500	0.866	1.000
254.807	0.259	0.966	1.000
269.794	0.000	1.000	1.000
284.795	-0.259	0.966	1.000
299.810	-0.500	0.866	1.000
314.838	-0.707	0.707	1.000
329.877	-0.866	0.500	1.000
344.924	-0.966	0.259	1.000
