-2.292	-0.636	0.058	0.638
13.557	-0.634	-0.115	0.645
29.505	-0.583	-0.285	0.649
45.486	-0.484	-0.401	0.629
61.434	-0.381	-0.505	0.633
77.285	-0.235	-0.588	0.634
92.981	-0.033	-0.620	0.621
108.473	0.117	-0.620	0.631
123.729	0.291	-0.572	0.642
138.730	0.441	-0.470	0.644
153.477	0.543	-0.350	0.646
167.986	0.629	-0.167	0.651
182.292	0.635	-0.065	0.638
196.443	0.631	0.114	0.641
210.495	0.577	0.270	0.637
224.514	0.490	0.404	0.635
238.566	0.405	0.502	0.645
252.715	0.277	0.576	0.640
267.019	0.149	0.624	0.641
281.527	-0.025	0.643	0.644
296.271	-0.200	0.612	0.644
311.270	-0.382	0.530	0.653
326.523	-0.528	0.372	0.646
342.014	-0.584	0.230	0.628
