-0.183	-0.625	0.064	0.629
14.858	-0.618	-0.099	0.626
29.910	-0.568	-0.257	0.623
44.968	-0.483	-0.401	0.627
60.027	-0.365	-0.507	0.625
75.085	-0.231	-0.580	0.624
90.138	-0.043	-0.626	0.627
105.180	0.129	-0.619	0.632
120.211	0.297	-0.559	0.633
135.227	0.424	-0.475	0.637
150.228	0.535	-0.344	0.636
165.213	0.611	-0.189	0.639
180.183	0.644	-0.009	0.644
195.142	0.619	0.158	0.639
210.090	0.560	0.295	0.633
225.032	0.487	0.402	0.631
239.973	0.396	0.490	0.630
254.915	0.289	0.565	0.634
269.862	0.164	0.616	0.637
284.820	0.008	0.641	0.641
299.789	-0.183	0.613	0.640
314.773	-0.351	0.535	0.640
329.772	-0.487	0.409	0.636
344.787	-0.581	0.234	0.626
