0.0	    -0.627	 0.063	0.631
15.0	-0.617	-0.103	0.625
30.0	-0.566	-0.261	0.623
45.0	-0.479	-0.405	0.627
60.0	-0.365	-0.508	0.626
75.0	-0.226	-0.582	0.625
90.0	-0.038	-0.624	0.626
105.0	0.131	-0.618	0.632
120.0	0.296	-0.560	0.634
135.0	0.425	-0.474	0.637
150.0	0.536	-0.345	0.637
165.0	0.611	-0.189	0.639
180.0	0.643	-0.011	0.644
195.0	0.620	0.156	0.639
210.0	0.561	0.294	0.634
225.0	0.487	0.402	0.632
240.0	0.399	0.489	0.632
255.0	0.289	0.565	0.635
270.0	0.163	0.616	0.638
285.0	0.006	0.641	0.641
300.0	-0.181	0.615	0.641
315.0	-0.353	0.532	0.638
330.0	-0.490	0.406	0.637
345.0	-0.582	0.237	0.629
