0.0	-0.628	0.073	0.632
15.0	-0.628	-0.094	0.635
30.0	-0.580	-0.249	0.631
45.0	-0.492	-0.391	0.628
60.0	-0.360	-0.509	0.623
75.0	-0.205	-0.582	0.617
90.0	-0.044	-0.622	0.623
105.0	0.127	-0.622	0.635
120.0	0.287	-0.565	0.634
135.0	0.435	-0.465	0.637
150.0	0.537	-0.343	0.637
165.0	0.604	-0.190	0.634
180.0	0.644	-0.004	0.644
195.0	0.621	0.156	0.641
210.0	0.554	0.305	0.633
225.0	0.480	0.409	0.631
240.0	0.375	0.502	0.627
255.0	0.262	0.574	0.631
270.0	0.156	0.617	0.637
285.0	-0.014	0.636	0.636
300.0	-0.180	0.613	0.639
315.0	-0.360	0.523	0.635
330.0	-0.498	0.393	0.634
345.0	-0.585	0.229	0.628
