ベンダ,"GRAPHTEC Corporation"
モデル,"GL2000"
バージョン,"Ver1.10  ","Rev0001"
最大CH数,4
Logic/Pulse,Off
温度単位,C
測定間隔,1s
測定点数,       655
トリガ点,         0
開始時刻,2021-07-31,14:22:43
終了時刻,2021-07-31,14:33:37
トリガ時刻,2021-07-31,14:22:43
アンプ設定
CH,信号名,アンプ,入力,レンジ,フィルタ,スパン,,単位,線色,,,線幅
CH1,"CH1","M",DC,10V,Off,+5.000,-5.000,V,28,5,6,0
CH2,"CH2","M",DC,10V,Off,+5.000,-5.000,V,0,13,23,0
XY設定
XY,トレース,X軸,Y軸
XY1,On,CH1,CH2
XY2,Off,CH1,CH3
XY3,Off,CH1,CH4
XY4,Off,CH1,CH2
ポジション・バーニア設定
CH,ポジション,バーニア
CH1,50%,100.0%
CH2,50%,100.0%
CH3,50%,100.0%
CH4,50%,100.0%
測定値
番号,日付,時間,us,CH1,CH2,Alarm,AlarmOut
NO.,Date,Time,us,"V","V","A1234","AO1234"
        65,2021/7/31,14:23:47,     0,+ 0.059,+ 0.030,LLLL,LLLL
        66,2021/7/31,14:23:48,     0,- 0.192,- 0.518,LLLL,LLLL
        67,2021/7/31,14:23:49,     0,- 0.062,- 0.296,LLLL,LLLL
        68,2021/7/31,14:23:50,     0,+ 0.013,- 0.231,LLLL,LLLL
        69,2021/7/31,14:23:51,     0,- 0.006,- 0.098,LLLL,LLLL
        70,2021/7/31,14:23:52,     0,- 0.179,- 0.285,LLLL,LLLL
        71,2021/7/31,14:23:53,     0,- 0.131,- 0.151,LLLL,LLLL
        72,2021/7/31,14:23:54,     0,+ 0.068,- 0.128,LLLL,LLLL
        73,2021/7/31,14:23:55,     0,+ 0.022,- 0.146,LLLL,LLLL
        74,2021/7/31,14:23:56,     0,- 0.005,- 0.090,LLLL,LLLL
        75,2021/7/31,14:23:57,     0,+ 0.085,- 0.094,LLLL,LLLL
        76,2021/7/31,14:23:58,     0,- 0.097,- 0.150,LLLL,LLLL
        77,2021/7/31,14:23:59,     0,- 0.186,+ 0.093,LLLL,LLLL
        78,2021/7/31,14:24:00,     0,+ 0.150,- 0.313,LLLL,LLLL
        79,2021/7/31,14:24:01,     0,- 0.002,- 0.143,LLLL,LLLL
        80,2021/7/31,14:24:02,     0,- 0.087,- 0.160,LLLL,LLLL
        81,2021/7/31,14:24:03,     0,- 0.025,- 0.341,LLLL,LLLL
        82,2021/7/31,14:24:04,     0,- 0.140,+ 0.168,LLLL,LLLL
        83,2021/7/31,14:24:05,     0,- 0.160,- 0.473,LLLL,LLLL
        84,2021/7/31,14:24:06,     0,- 0.154,+ 0.013,LLLL,LLLL
        85,2021/7/31,14:24:07,     0,+ 0.070,- 0.305,LLLL,LLLL
        86,2021/7/31,14:24:08,     0,- 0.098,- 0.122,LLLL,LLLL
        87,2021/7/31,14:24:09,     0,+ 0.067,- 0.090,LLLL,LLLL
        88,2021/7/31,14:24:10,     0,+ 0.039,- 0.226,LLLL,LLLL
        89,2021/7/31,14:24:11,     0,- 0.004,- 0.320,LLLL,LLLL
        90,2021/7/31,14:24:12,     0,- 0.109,- 0.242,LLLL,LLLL
        91,2021/7/31,14:24:13,     0,- 0.128,- 0.248,LLLL,LLLL
        92,2021/7/31,14:24:14,     0,- 0.083,- 0.292,LLLL,LLLL
        93,2021/7/31,14:24:15,     0,- 0.069,- 0.149,LLLL,LLLL
        94,2021/7/31,14:24:16,     0,- 0.063,- 0.291,LLLL,LLLL
        95,2021/7/31,14:24:17,     0,+ 0.149,- 0.244,LLLL,LLLL
        96,2021/7/31,14:24:18,     0,- 0.019,- 0.054,LLLL,LLLL
        97,2021/7/31,14:24:19,     0,+ 0.020,- 0.090,LLLL,LLLL
