-0.121,0.05
-0.058,0.008
-0.047,0.048
-0.074,0.087
-0.051,0.055
-0.021,0.036
-0.012,0.053
-0.043,0.026
-0.021,0.036
0.001,-0.007
-0.071,0.033
-0.071,0.063
-0.027,0.052
-0.014,0.095
-0.04,0.027
-0.021,0.08
-0.054,-0.217
0.013,0.401
0.071,0.074
0.052,0.149
0.025,0.176
0.046,0.289
-0.056,0.192
0.006,0.023
0.242,-0.158
0.003,-0.105
-0.075,0.113
-0.01,0.042
-0.034,0.002
-0.061,0.187
-0.055,-0.096
-0.001,-0.059
0.084,-0.015
0.164,-0.17
0.019,-0.155
0.115,0.093
0.128,0.023
-0.008,0.133
-0.146,0.251
0.068,0.283
-0.04,0.029
-0.067,0.112
0.181,0.078
-0.28,0.16
-0.043,0.61
0.053,0.226
0.102,-0.023
0.093,0.26
-0.174,0.159
0.004,0.097
-0.278,-0.151
0.022,0.32
0.097,-0.061
0.116,0.025
0.115,0.118
-0.023,-0.027
0.131,-0.159
-0.006,0.045
-0.027,0.277
0.01,0.003
-0.166,0.149
0.109,-0.069
0.133,0.198
0.053,0.117
0.172,0.154
-0.087,0.361
-0.288,0.382
0.201,-0.026
0.112,0.022
0.091,0.22
-0.203,0.104
0.184,0.248
0.205,0.169
-0.02,0.109
0.02,-0.13
-0.003,0.094
0.006,0.149
-0.213,0.292
0.215,-0.222
0.068,0.269
0.07,-0.037
0.132,0.148
0.074,0.566
0.011,0.024
0.253,0.138
0.192,0.347
0.059,0.135
-0.092,0.217
-0.093,0.427
0.035,-0.272
-0.007,0.303
0.024,-0.015
-0.242,0.211
0.092,0.055
-0.069,0.018
0.051,0.027
-0.078,0.165
-0.213,0.154
-0.122,0.112
-0.01,0.05
0.149,-0.09
0.011,0.089
-0.097,0.31
0.146,0.294
-0.085,0.233
-0.182,0.489
0.019,0.114
0.04,0.239
-0.058,0.195
-0.267,0.088
0.045,0.381
-0.098,-0.008
-0.222,0.266
-0.095,0.05
-0.001,0.221
-0.185,0.166
-0.219,0.278
-0.029,0.024
-0.091,0.341
-0.141,0.346
-0.152,0.171
-0.271,0.266
-0.084,0.184
0.149,0.153
0.112,0.358
-0.105,0.354
-0.005,0.119
-0.37,0.385
0.03,-0.001
-0.218,0.453
-0.063,0.127
-0.288,0.058
0.034,0.49
-0.323,0.245
-0.316,0.442
-0.125,0.202
-0.174,0.366
-0.34,0.015
-0.225,0.098
0.004,-0.094
0.068,0.418
-0.297,0.15
-0.125,0.23
-0.04,0.269
-0.283,0.583
0.026,0.312
-0.109,0.342
-0.205,0.344
0.241,0.346
-0.289,0.367
-0.232,-0.027
-0.359,0.387
-0.142,0.033
-0.338,0.131
-0.119,0.203
-0.318,0.306
-0.043,0.057
-0.149,0.238
-0.16,0.28
-0.205,-0.007
-0.118,0.21
-0.133,0.069
0.032,0.262
0.009,0.214
-0.012,0.185
-0.223,0.116
-0.314,0.48
-0.069,-0.068
-0.036,0.074
-0.244,0.203
-0.165,0.402
-0.107,0.316
-0.161,0.022
-0.329,0.096
-0.179,0.096
-0.16,0.127
-0.235,0.138
-0.294,0.082
-0.122,-0.127
-0.076,0.192
-0.118,0.092
-0.158,0.295
-0.342,-0.011
-0.196,0.239
-0.252,0.136
0.03,0.093
-0.194,0.292
-0.229,0.116
-0.612,1.409
0.083,0.326
0.48,-1.031
0.427,-0.356
0.977,-0.669
0.474,-0.203
0.186,0.149
0.861,0.053
0.664,0.249
1.023,-3.322
0.493,-0.157
1.357,1.482
1.253,-1.794
0.388,0.451
0.669,-1.763
1.349,0.234
0.463,-2.112
-0.401,-1.696
1.613,-0.384
0.734,-2.956
1.402,0.941
1.201,1.456
0.714,-4.365
0.055,-0.886
-0.036,-1.357
0.579,-1.443
1.21,-1.268
1.354,1.114
1.111,0.027
1.493,1.821
0.91,0.673
1.031,1.568
1.277,1.832
0.754,-0.884
0.286,2.647
1.044,-0.932
1.355,-0.311
0.716,0.436
1.439,2.173
0.755,-0.331
1.038,-2.412
1.49,-0.218
0.988,-1.311
1.591,1.633
0.981,-2.489
0.363,-2.096
0.879,-0.302
0.096,0.026
0.486,1.604
