400	0.000001	0.000001	0.000000	80.0
900	-0.012987	0.155937	0.252737	180.0
1400	-0.024095	0.322286	0.514015	280.0
1900	0.002190	0.559902	0.878032	380.0
2400	0.014029	0.846032	1.321009	480.0
2900	0.000001	0.000001	0.000000	580.0
