0.000	-0.966	-0.342	1.025
15.000	-0.866	-0.574	1.039
30.000	-0.707	-0.766	1.043
45.000	-0.500	-0.906	1.035
60.000	-0.259	-0.985	1.018
75.000	-0.000	-0.996	0.996
90.000	0.259	-0.940	0.975
105.000	0.500	-0.819	0.960
120.000	0.707	-0.643	0.956
135.000	0.866	-0.423	0.964
150.000	0.966	-0.174	0.981
165.000	1.000	0.087	1.004
180.000	0.966	0.342	1.025
195.000	0.866	0.574	1.039
210.000	0.707	0.766	1.043
225.000	0.500	0.906	1.035
240.000	0.259	0.985	1.018
255.000	0.000	0.996	0.996
270.000	-0.259	0.940	0.975
285.000	-0.500	0.819	0.960
300.000	-0.707	0.643	0.956
315.000	-0.866	0.423	0.964
330.000	-0.966	0.174	0.981
345.000	-1.000	-0.087	1.004
