0.0	-0.979	-0.095	0.983
15.0	-0.993	-0.352	1.054
30.0	-0.938	-0.586	1.106
45.0	-0.813	-0.778	1.125
60.0	-0.631	-0.916	1.112
75.0	-0.407	-0.990	1.070
90.0	-0.156	-0.996	1.008
105.0	0.106	-0.934	0.940
120.0	0.358	-0.809	0.884
135.0	0.586	-0.630	0.860
150.0	0.773	-0.410	0.875
165.0	0.909	-0.164	0.924
180.0	0.985	0.092	0.989
195.0	0.996	0.342	1.053
210.0	0.943	0.570	1.102
225.0	0.827	0.761	1.124
240.0	0.656	0.903	1.116
255.0	0.440	0.985	1.078
270.0	0.193	1.000	1.018
285.0	-0.068	0.947	0.949
300.0	-0.326	0.829	0.890
315.0	-0.562	0.652	0.861
330.0	-0.760	0.429	0.873
345.0	-0.926	0.196	0.946
