Vendor,"GRAPHTEC Corporation"
Model,"GL2000"
Version,"Ver1.10","Rev0001"
MaxChannel, 4CH
Logic/Pulse, Off
TempUnit, C
Sampling interval, 200ms
Total data points,         3025
Trigger, 0
Start time, 2021-12-29,16:06:01
End time, 2021-12-29,16:16:06
Trigger time, 2021-12-29,16:06:01
AMP settings
CH,Signal name,Amp,Input,Range,Filter,Span,,Unit,Color,,,Line Width
CH1, " CH 1", M, DC, 5V, Off, +2.500, -2.500, V, 28, 5, 6, 0
CH2, " CH 2", M, DC, 5V, Off, +2.500, -2.500, V, 0, 13, 23, 0
CH3, " CH 3", M, DC, 5V, Off, +2.500, -2.500, V, 9, 22, 8, 0
Data
Number,Date,Time,us, CH1, CH2, CH3, Alarm,AlarmOut
NO.,Date,Time,us, V, V, V, A1234,AO1234
1,2021/12/29,16:06:01,000000,+0.004,-0.002,-0.775,LLLL,LLLL
2,2021/12/29,16:06:01,200000,+0.005,-0.001,-0.779,LLLL,LLLL
3,2021/12/29,16:06:01,400000,+0.002,+0.001,-0.778,LLLL,LLLL
4,2021/12/29,16:06:01,600000,+0.005,-0.001,-0.776,LLLL,LLLL
5,2021/12/29,16:06:01,800000,+0.003,-0.003,-0.775,LLLL,LLLL
6,2021/12/29,16:06:02,000000,+0.004,-0.003,-0.775,LLLL,LLLL
7,2021/12/29,16:06:02,200000,+0.003,-0.002,-0.773,LLLL,LLLL
8,2021/12/29,16:06:02,400000,+0.002,-0.003,-0.776,LLLL,LLLL
9,2021/12/29,16:06:02,600000,+0.002,-0.002,-0.774,LLLL,LLLL
10,2021/12/29,16:06:02,800000,+0.004,-0.002,-0.775,LLLL,LLLL
11,2021/12/29,16:06:03,000000,+0.002,-0.001,-0.777,LLLL,LLLL
12,2021/12/29,16:06:03,200000,+0.002,-0.003,-0.775,LLLL,LLLL
13,2021/12/29,16:06:03,400000,+0.004,-0.003,-0.774,LLLL,LLLL
14,2021/12/29,16:06:03,600000,+0.003,-0.004,-0.778,LLLL,LLLL
15,2021/12/29,16:06:03,800000,+0.003,-0.004,-0.775,LLLL,LLLL
16,2021/12/29,16:06:04,000000,+0.002,-0.002,-0.776,LLLL,LLLL
17,2021/12/29,16:06:04,200000,+0.002,-0.001,-0.776,LLLL,LLLL
18,2021/12/29,16:06:04,400000,+0.002,-0.005,-0.777,LLLL,LLLL
19,2021/12/29,16:06:04,600000,+0.003,-0.006,-0.778,LLLL,LLLL
20,2021/12/29,16:06:04,800000,-0.001,-0.004,-0.776,LLLL,LLLL
21,2021/12/29,16:06:05,000000,-0.001,-0.001,-0.772,LLLL,LLLL
22,2021/12/29,16:06:05,200000,+0.001,-0.003,-0.775,LLLL,LLLL
23,2021/12/29,16:06:05,400000,+0.002,-0.005,-0.774,LLLL,LLLL
24,2021/12/29,16:06:05,600000,+0.001,-0.005,-0.777,LLLL,LLLL
25,2021/12/29,16:06:05,800000,-0.002,-0.005,-0.776,LLLL,LLLL
26,2021/12/29,16:06:06,000000,+0.001,-0.003,-0.777,LLLL,LLLL
27,2021/12/29,16:06:06,200000,-0.000,-0.003,-0.777,LLLL,LLLL
28,2021/12/29,16:06:06,400000,+0.000,-0.005,-0.774,LLLL,LLLL
29,2021/12/29,16:06:06,600000,+0.003,-0.003,-0.777,LLLL,LLLL
30,2021/12/29,16:06:06,800000,+0.001,-0.003,-0.775,LLLL,LLLL
31,2021/12/29,16:06:07,000000,+0.000,-0.006,-0.776,LLLL,LLLL
32,2021/12/29,16:06:07,200000,+0.003,-0.002,-0.776,LLLL,LLLL
33,2021/12/29,16:06:07,400000,+0.001,-0.003,-0.775,LLLL,LLLL
34,2021/12/29,16:06:07,600000,+0.001,-0.004,-0.779,LLLL,LLLL
35,2021/12/29,16:06:07,800000,+0.002,-0.004,-0.776,LLLL,LLLL
36,2021/12/29,16:06:08,000000,+0.004,-0.006,-0.776,LLLL,LLLL
37,2021/12/29,16:06:08,200000,+0.002,-0.003,-0.773,LLLL,LLLL
38,2021/12/29,16:06:08,400000,+0.001,-0.002,-0.779,LLLL,LLLL
39,2021/12/29,16:06:08,600000,+0.003,-0.005,-0.778,LLLL,LLLL
40,2021/12/29,16:06:08,800000,+0.003,-0.005,-0.781,LLLL,LLLL
41,2021/12/29,16:06:09,000000,+0.000,-0.003,-0.778,LLLL,LLLL
42,2021/12/29,16:06:09,200000,+0.003,-0.007,-0.776,LLLL,LLLL
43,2021/12/29,16:06:09,400000,+0.001,-0.005,-0.773,LLLL,LLLL
44,2021/12/29,16:06:09,600000,+0.003,-0.007,-0.778,LLLL,LLLL
45,2021/12/29,16:06:09,800000,+0.001,-0.004,-0.777,LLLL,LLLL
46,2021/12/29,16:06:10,000000,+0.003,-0.004,-0.779,LLLL,LLLL
47,2021/12/29,16:06:10,200000,+0.002,-0.004,-0.775,LLLL,LLLL
48,2021/12/29,16:06:10,400000,+0.001,-0.007,-0.778,LLLL,LLLL
49,2021/12/29,16:06:10,600000,+0.001,-0.007,-0.772,LLLL,LLLL
50,2021/12/29,16:06:10,800000,-0.001,-0.003,-0.773,LLLL,LLLL
51,2021/12/29,16:06:11,000000,+0.000,-0.007,-0.777,LLLL,LLLL
52,2021/12/29,16:06:11,200000,+0.002,-0.005,-0.779,LLLL,LLLL
53,2021/12/29,16:06:11,400000,+0.000,-0.007,-0.777,LLLL,LLLL
54,2021/12/29,16:06:11,600000,+0.004,-0.003,-0.775,LLLL,LLLL
55,2021/12/29,16:06:11,800000,-0.003,-0.002,-0.775,LLLL,LLLL
56,2021/12/29,16:06:12,000000,-0.001,-0.003,-0.775,LLLL,LLLL
57,2021/12/29,16:06:12,200000,+0.001,-0.005,-0.778,LLLL,LLLL
58,2021/12/29,16:06:12,400000,-0.001,-0.003,-0.774,LLLL,LLLL
59,2021/12/29,16:06:12,600000,-0.002,-0.003,-0.774,LLLL,LLLL
60,2021/12/29,16:06:12,800000,-0.001,-0.007,-0.776,LLLL,LLLL
61,2021/12/29,16:06:13,000000,+0.001,-0.005,-0.777,LLLL,LLLL
62,2021/12/29,16:06:13,200000,+0.000,-0.002,-0.778,LLLL,LLLL
63,2021/12/29,16:06:13,400000,+0.001,-0.002,-0.778,LLLL,LLLL
64,2021/12/29,16:06:13,600000,+0.002,-0.007,-0.776,LLLL,LLLL
65,2021/12/29,16:06:13,800000,+0.003,-0.006,-0.776,LLLL,LLLL
66,2021/12/29,16:06:14,000000,+0.005,-0.008,-0.779,LLLL,LLLL
67,2021/12/29,16:06:14,200000,+0.000,-0.006,-0.777,LLLL,LLLL
68,2021/12/29,16:06:14,400000,+0.001,-0.007,-0.779,LLLL,LLLL
69,2021/12/29,16:06:14,600000,+0.002,-0.004,-0.776,LLLL,LLLL
70,2021/12/29,16:06:14,800000,-0.000,-0.002,-0.776,LLLL,LLLL
71,2021/12/29,16:06:15,000000,+0.002,-0.004,-0.777,LLLL,LLLL
72,2021/12/29,16:06:15,200000,+0.001,-0.005,-0.777,LLLL,LLLL
73,2021/12/29,16:06:15,400000,+0.003,-0.002,-0.773,LLLL,LLLL
74,2021/12/29,16:06:15,600000,+0.004,-0.005,-0.776,LLLL,LLLL
75,2021/12/29,16:06:15,800000,+0.002,-0.006,-0.776,LLLL,LLLL
76,2021/12/29,16:06:16,000000,+0.003,-0.008,-0.779,LLLL,LLLL
77,2021/12/29,16:06:16,200000,+0.003,-0.004,-0.778,LLLL,LLLL
78,2021/12/29,16:06:16,400000,+0.002,-0.003,-0.775,LLLL,LLLL
79,2021/12/29,16:06:16,600000,+0.003,-0.003,-0.776,LLLL,LLLL
80,2021/12/29,16:06:16,800000,+0.002,-0.003,-0.776,LLLL,LLLL
81,2021/12/29,16:06:17,000000,+0.004,-0.002,-0.776,LLLL,LLLL
82,2021/12/29,16:06:17,200000,+0.004,-0.002,-0.775,LLLL,LLLL
83,2021/12/29,16:06:17,400000,+0.003,-0.009,-0.775,LLLL,LLLL
84,2021/12/29,16:06:17,600000,+0.003,-0.006,-0.779,LLLL,LLLL
85,2021/12/29,16:06:17,800000,+0.004,-0.003,-0.776,LLLL,LLLL
86,2021/12/29,16:06:18,000000,+0.001,-0.002,-0.775,LLLL,LLLL
87,2021/12/29,16:06:18,200000,+0.003,-0.003,-0.778,LLLL,LLLL
88,2021/12/29,16:06:18,400000,+0.001,-0.002,-0.777,LLLL,LLLL
89,2021/12/29,16:06:18,600000,-0.000,-0.004,-0.776,LLLL,LLLL
90,2021/12/29,16:06:18,800000,-0.001,-0.008,-0.773,LLLL,LLLL
91,2021/12/29,16:06:19,000000,-0.001,-0.007,-0.778,LLLL,LLLL
92,2021/12/29,16:06:19,200000,+0.001,-0.007,-0.776,LLLL,LLLL
93,2021/12/29,16:06:19,400000,+0.000,-0.006,-0.775,LLLL,LLLL
94,2021/12/29,16:06:19,600000,+0.004,-0.009,-0.776,LLLL,LLLL
95,2021/12/29,16:06:19,800000,+0.002,-0.006,-0.775,LLLL,LLLL
96,2021/12/29,16:06:20,000000,+0.001,-0.004,-0.775,LLLL,LLLL
97,2021/12/29,16:06:20,200000,+0.001,-0.005,-0.774,LLLL,LLLL
98,2021/12/29,16:06:20,400000,+0.001,-0.006,-0.774,LLLL,LLLL
99,2021/12/29,16:06:20,600000,+0.001,-0.008,-0.777,LLLL,LLLL
100,2021/12/29,16:06:20,800000,+0.001,-0.005,-0.775,LLLL,LLLL
101,2021/12/29,16:06:21,000000,+0.003,-0.004,-0.775,LLLL,LLLL
102,2021/12/29,16:06:21,200000,+0.002,-0.005,-0.774,LLLL,LLLL
103,2021/12/29,16:06:21,400000,+0.002,-0.005,-0.776,LLLL,LLLL
104,2021/12/29,16:06:21,600000,+0.001,-0.005,-0.778,LLLL,LLLL
105,2021/12/29,16:06:21,800000,+0.002,-0.005,-0.774,LLLL,LLLL
106,2021/12/29,16:06:22,000000,-0.002,-0.006,-0.773,LLLL,LLLL
107,2021/12/29,16:06:22,200000,+0.003,-0.007,-0.775,LLLL,LLLL
108,2021/12/29,16:06:22,400000,+0.002,-0.006,-0.774,LLLL,LLLL
109,2021/12/29,16:06:22,600000,-0.001,-0.006,-0.774,LLLL,LLLL
110,2021/12/29,16:06:22,800000,-0.001,-0.005,-0.775,LLLL,LLLL
111,2021/12/29,16:06:23,000000,-0.002,-0.008,-0.773,LLLL,LLLL
112,2021/12/29,16:06:23,200000,+0.001,-0.007,-0.775,LLLL,LLLL
113,2021/12/29,16:06:23,400000,-0.002,-0.002,-0.774,LLLL,LLLL
114,2021/12/29,16:06:23,600000,-0.001,-0.005,-0.775,LLLL,LLLL
115,2021/12/29,16:06:23,800000,-0.003,-0.006,-0.776,LLLL,LLLL
116,2021/12/29,16:06:24,000000,-0.001,-0.004,-0.774,LLLL,LLLL
117,2021/12/29,16:06:24,200000,-0.001,-0.005,-0.777,LLLL,LLLL
118,2021/12/29,16:06:24,400000,-0.003,-0.005,-0.777,LLLL,LLLL
119,2021/12/29,16:06:24,600000,-0.001,-0.005,-0.776,LLLL,LLLL
120,2021/12/29,16:06:24,800000,-0.002,-0.004,-0.775,LLLL,LLLL
121,2021/12/29,16:06:25,000000,-0.001,-0.004,-0.776,LLLL,LLLL
122,2021/12/29,16:06:25,200000,-0.001,-0.005,-0.775,LLLL,LLLL
123,2021/12/29,16:06:25,400000,-0.002,-0.005,-0.772,LLLL,LLLL
124,2021/12/29,16:06:25,600000,-0.003,-0.006,-0.778,LLLL,LLLL
125,2021/12/29,16:06:25,800000,+0.002,-0.004,-0.778,LLLL,LLLL
126,2021/12/29,16:06:26,000000,-0.001,-0.003,-0.777,LLLL,LLLL
127,2021/12/29,16:06:26,200000,-0.002,-0.005,-0.776,LLLL,LLLL
128,2021/12/29,16:06:26,400000,+0.001,-0.004,-0.772,LLLL,LLLL
129,2021/12/29,16:06:26,600000,-0.001,-0.004,-0.774,LLLL,LLLL
130,2021/12/29,16:06:26,800000,-0.001,-0.005,-0.776,LLLL,LLLL
131,2021/12/29,16:06:27,000000,-0.002,-0.005,-0.775,LLLL,LLLL
132,2021/12/29,16:06:27,200000,+0.004,-0.008,-0.778,LLLL,LLLL
133,2021/12/29,16:06:27,400000,+0.001,-0.002,-0.777,LLLL,LLLL
134,2021/12/29,16:06:27,600000,+0.001,-0.004,-0.776,LLLL,LLLL
135,2021/12/29,16:06:27,800000,+0.001,-0.002,-0.777,LLLL,LLLL
136,2021/12/29,16:06:28,000000,+0.001,-0.001,-0.778,LLLL,LLLL
137,2021/12/29,16:06:28,200000,-0.001,-0.002,-0.773,LLLL,LLLL
138,2021/12/29,16:06:28,400000,+0.001,-0.007,-0.773,LLLL,LLLL
139,2021/12/29,16:06:28,600000,+0.000,-0.007,-0.775,LLLL,LLLL
140,2021/12/29,16:06:28,800000,-0.002,-0.006,-0.778,LLLL,LLLL
141,2021/12/29,16:06:29,000000,-0.001,-0.002,-0.774,LLLL,LLLL
142,2021/12/29,16:06:29,200000,-0.001,-0.003,-0.776,LLLL,LLLL
143,2021/12/29,16:06:29,400000,-0.002,-0.002,-0.776,LLLL,LLLL
144,2021/12/29,16:06:29,600000,+0.003,-0.004,-0.777,LLLL,LLLL
145,2021/12/29,16:06:29,800000,+0.002,-0.005,-0.775,LLLL,LLLL
146,2021/12/29,16:06:30,000000,+0.002,-0.002,-0.776,LLLL,LLLL
147,2021/12/29,16:06:30,200000,+0.002,-0.004,-0.776,LLLL,LLLL
148,2021/12/29,16:06:30,400000,+0.001,-0.006,-0.776,LLLL,LLLL
149,2021/12/29,16:06:30,600000,-0.000,-0.004,-0.771,LLLL,LLLL
150,2021/12/29,16:06:30,800000,+0.005,-0.000,-0.777,LLLL,LLLL
151,2021/12/29,16:06:31,000000,-0.001,-0.001,-0.775,LLLL,LLLL
152,2021/12/29,16:06:31,200000,+0.002,-0.003,-0.778,LLLL,LLLL
153,2021/12/29,16:06:31,400000,+0.005,-0.004,-0.774,LLLL,LLLL
154,2021/12/29,16:06:31,600000,+0.003,-0.002,-0.773,LLLL,LLLL
155,2021/12/29,16:06:31,800000,+0.004,-0.002,-0.777,LLLL,LLLL
156,2021/12/29,16:06:32,000000,+0.007,-0.005,-0.775,LLLL,LLLL
157,2021/12/29,16:06:32,200000,+0.005,-0.000,-0.776,LLLL,LLLL
158,2021/12/29,16:06:32,400000,+0.006,+0.001,-0.773,LLLL,LLLL
159,2021/12/29,16:06:32,600000,+0.007,+0.001,-0.775,LLLL,LLLL
160,2021/12/29,16:06:32,800000,+0.007,-0.001,-0.776,LLLL,LLLL
161,2021/12/29,16:06:33,000000,+0.006,-0.006,-0.775,LLLL,LLLL
162,2021/12/29,16:06:33,200000,+0.005,-0.005,-0.776,LLLL,LLLL
163,2021/12/29,16:06:33,400000,+0.009,-0.004,-0.775,LLLL,LLLL
164,2021/12/29,16:06:33,600000,+0.007,+0.000,-0.780,LLLL,LLLL
