Vendor,GRAPHTEC Corporation,,,,,,,,,,,
Model,GL2000,,,,,,,,,,,
Version,Ver1.10,Rev0001,,,,,,,,,,
MaxChannel, 4CH,,,,,,,,,,,
Logic/Pulse, Off,,,,,,,,,,,
TempUnit, C,,,,,,,,,,,
Sampling interval, 200ms,,,,,,,,,,,
Total data points,3033,,,,,,,,,,,
Trigger,0,,,,,,,,,,,
Start time, 2021-12-29,14:14:32,,,,,,,,,,
End time, 2021-12-29,14:24:38,,,,,,,,,,
Trigger time, 2021-12-29,14:14:32,,,,,,,,,,
AMP settings,,,,,,,,,,,,
CH,Signal name,Amp,Input,Range,Filter,Span,,Unit,Color,,,Line Width
CH1," "" CH 1""", M, DC, 5V, Off,2.5,-2.5, V,28,5,6,0
CH2," "" CH 2""", M, DC, 5V, Off,2.5,-2.5, V,0,13,23,0
CH3," "" CH 3""", M, DC, 5V, Off,2.5,-2.5, V,9,22,8,0
Data,,,,,,,,,,,,
Number,Date,Time,us, CH1, CH2, CH3, Alarm,AlarmOut,,,,
NO.,Date,Time,us, V, V, V, A1234,AO1234,,,,
57,2021/12/29,14:14:43,200000,-0.007,-0.013,-0.78,LLLL,LLLL,,,,
58,2021/12/29,14:14:43,400000,-0.009,-0.012,-0.779,LLLL,LLLL,,,,
59,2021/12/29,14:14:43,600000,-0.009,-0.014,-0.781,LLLL,LLLL,,,,
60,2021/12/29,14:14:43,800000,-0.007,-0.015,-0.778,LLLL,LLLL,,,,
61,2021/12/29,14:14:44,0,-0.011,-0.013,-0.78,LLLL,LLLL,,,,
62,2021/12/29,14:14:44,200000,-0.01,-0.013,-0.78,LLLL,LLLL,,,,
63,2021/12/29,14:14:44,400000,-0.01,-0.013,-0.783,LLLL,LLLL,,,,
64,2021/12/29,14:14:44,600000,-0.01,-0.013,-0.78,LLLL,LLLL,,,,
65,2021/12/29,14:14:44,800000,-0.01,-0.014,-0.777,LLLL,LLLL,,,,
66,2021/12/29,14:14:45,0,-0.007,-0.013,-0.779,LLLL,LLLL,,,,
67,2021/12/29,14:14:45,200000,-0.009,-0.013,-0.784,LLLL,LLLL,,,,
68,2021/12/29,14:14:45,400000,-0.009,-0.016,-0.782,LLLL,LLLL,,,,
69,2021/12/29,14:14:45,600000,-0.009,-0.01,-0.78,LLLL,LLLL,,,,
70,2021/12/29,14:14:45,800000,-0.008,-0.013,-0.784,LLLL,LLLL,,,,
71,2021/12/29,14:14:46,0,-0.009,-0.012,-0.775,LLLL,LLLL,,,,
72,2021/12/29,14:14:46,200000,-0.01,-0.012,-0.782,LLLL,LLLL,,,,
73,2021/12/29,14:14:46,400000,-0.01,-0.014,-0.784,LLLL,LLLL,,,,
74,2021/12/29,14:14:46,600000,-0.009,-0.015,-0.78,LLLL,LLLL,,,,
75,2021/12/29,14:14:46,800000,-0.01,-0.014,-0.783,LLLL,LLLL,,,,
76,2021/12/29,14:14:47,0,-0.011,-0.012,-0.78,LLLL,LLLL,,,,
77,2021/12/29,14:14:47,200000,-0.011,-0.011,-0.781,LLLL,LLLL,,,,
78,2021/12/29,14:14:47,400000,-0.009,-0.011,-0.775,LLLL,LLLL,,,,
79,2021/12/29,14:14:47,600000,-0.011,-0.011,-0.78,LLLL,LLLL,,,,
80,2021/12/29,14:14:47,800000,-0.012,-0.012,-0.78,LLLL,LLLL,,,,
81,2021/12/29,14:14:48,0,-0.01,-0.011,-0.779,LLLL,LLLL,,,,
82,2021/12/29,14:14:48,200000,-0.011,-0.012,-0.779,LLLL,LLLL,,,,
83,2021/12/29,14:14:48,400000,-0.011,-0.014,-0.778,LLLL,LLLL,,,,
84,2021/12/29,14:14:48,600000,-0.012,-0.016,-0.779,LLLL,LLLL,,,,
85,2021/12/29,14:14:48,800000,-0.011,-0.016,-0.776,LLLL,LLLL,,,,
86,2021/12/29,14:14:49,0,-0.01,-0.013,-0.78,LLLL,LLLL,,,,
87,2021/12/29,14:14:49,200000,-0.009,-0.013,-0.78,LLLL,LLLL,,,,
88,2021/12/29,14:14:49,400000,-0.009,-0.014,-0.778,LLLL,LLLL,,,,
89,2021/12/29,14:14:49,600000,-0.012,-0.013,-0.778,LLLL,LLLL,,,,
90,2021/12/29,14:14:49,800000,-0.01,-0.016,-0.779,LLLL,LLLL,,,,
91,2021/12/29,14:14:50,0,-0.01,-0.015,-0.779,LLLL,LLLL,,,,
92,2021/12/29,14:14:50,200000,-0.009,-0.016,-0.779,LLLL,LLLL,,,,
93,2021/12/29,14:14:50,400000,-0.013,-0.011,-0.779,LLLL,LLLL,,,,
94,2021/12/29,14:14:50,600000,-0.012,-0.01,-0.78,LLLL,LLLL,,,,
95,2021/12/29,14:14:50,800000,-0.009,-0.01,-0.778,LLLL,LLLL,,,,
96,2021/12/29,14:14:51,0,-0.011,-0.01,-0.779,LLLL,LLLL,,,,
97,2021/12/29,14:14:51,200000,-0.011,-0.01,-0.783,LLLL,LLLL,,,,
98,2021/12/29,14:14:51,400000,-0.011,-0.012,-0.779,LLLL,LLLL,,,,
99,2021/12/29,14:14:51,600000,-0.009,-0.012,-0.778,LLLL,LLLL,,,,
100,2021/12/29,14:14:51,800000,-0.011,-0.014,-0.779,LLLL,LLLL,,,,
101,2021/12/29,14:14:52,0,-0.01,-0.014,-0.78,LLLL,LLLL,,,,
102,2021/12/29,14:14:52,200000,-0.009,-0.011,-0.779,LLLL,LLLL,,,,
103,2021/12/29,14:14:52,400000,-0.008,-0.01,-0.782,LLLL,LLLL,,,,
104,2021/12/29,14:14:52,600000,-0.011,-0.011,-0.779,LLLL,LLLL,,,,
105,2021/12/29,14:14:52,800000,-0.01,-0.014,-0.78,LLLL,LLLL,,,,
106,2021/12/29,14:14:53,0,-0.008,-0.014,-0.779,LLLL,LLLL,,,,
107,2021/12/29,14:14:53,200000,-0.011,-0.017,-0.78,LLLL,LLLL,,,,
108,2021/12/29,14:14:53,400000,-0.01,-0.014,-0.782,LLLL,LLLL,,,,
109,2021/12/29,14:14:53,600000,-0.01,-0.013,-0.779,LLLL,LLLL,,,,
110,2021/12/29,14:14:53,800000,-0.011,-0.013,-0.778,LLLL,LLLL,,,,
111,2021/12/29,14:14:54,0,-0.009,-0.01,-0.779,LLLL,LLLL,,,,
112,2021/12/29,14:14:54,200000,-0.009,-0.008,-0.778,LLLL,LLLL,,,,
113,2021/12/29,14:14:54,400000,-0.009,-0.012,-0.778,LLLL,LLLL,,,,
114,2021/12/29,14:14:54,600000,-0.01,-0.01,-0.78,LLLL,LLLL,,,,
115,2021/12/29,14:14:54,800000,-0.01,-0.013,-0.783,LLLL,LLLL,,,,
116,2021/12/29,14:14:55,0,-0.007,-0.015,-0.78,LLLL,LLLL,,,,
117,2021/12/29,14:14:55,200000,-0.009,-0.014,-0.781,LLLL,LLLL,,,,
118,2021/12/29,14:14:55,400000,-0.01,-0.013,-0.779,LLLL,LLLL,,,,
119,2021/12/29,14:14:55,600000,-0.009,-0.01,-0.783,LLLL,LLLL,,,,
120,2021/12/29,14:14:55,800000,-0.011,-0.01,-0.776,LLLL,LLLL,,,,
121,2021/12/29,14:14:56,0,-0.009,-0.011,-0.782,LLLL,LLLL,,,,
122,2021/12/29,14:14:56,200000,-0.011,-0.012,-0.779,LLLL,LLLL,,,,
123,2021/12/29,14:14:56,400000,-0.009,-0.013,-0.776,LLLL,LLLL,,,,
124,2021/12/29,14:14:56,600000,-0.011,-0.011,-0.78,LLLL,LLLL,,,,
125,2021/12/29,14:14:56,800000,-0.011,-0.011,-0.779,LLLL,LLLL,,,,
126,2021/12/29,14:14:57,0,-0.01,-0.012,-0.778,LLLL,LLLL,,,,
127,2021/12/29,14:14:57,200000,-0.012,-0.013,-0.779,LLLL,LLLL,,,,
128,2021/12/29,14:14:57,400000,-0.013,-0.014,-0.783,LLLL,LLLL,,,,
129,2021/12/29,14:14:57,600000,-0.012,-0.011,-0.78,LLLL,LLLL,,,,
130,2021/12/29,14:14:57,800000,-0.009,-0.011,-0.778,LLLL,LLLL,,,,
131,2021/12/29,14:14:58,0,-0.013,-0.011,-0.78,LLLL,LLLL,,,,
132,2021/12/29,14:14:58,200000,-0.012,-0.009,-0.779,LLLL,LLLL,,,,
133,2021/12/29,14:14:58,400000,-0.009,-0.01,-0.777,LLLL,LLLL,,,,
134,2021/12/29,14:14:58,600000,-0.01,-0.013,-0.779,LLLL,LLLL,,,,
135,2021/12/29,14:14:58,800000,-0.009,-0.012,-0.78,LLLL,LLLL,,,,
136,2021/12/29,14:14:59,0,-0.011,-0.013,-0.781,LLLL,LLLL,,,,
137,2021/12/29,14:14:59,200000,-0.01,-0.014,-0.779,LLLL,LLLL,,,,
