ベンダ,"GRAPHTEC Corporation"
モデル,"GL2000"
バージョン,"Ver1.10  ","Rev0001"
最大CH数,4
Logic/Pulse,Off
温度単位,C
測定間隔,1s
測定点数,       648
トリガ点,         0
開始時刻,2021-07-31,13:55:14
終了時刻,2021-07-31,14:06:02
トリガ時刻,2021-07-31,13:55:14
アンプ設定
CH,信号名,アンプ,入力,レンジ,フィルタ,スパン,,単位,線色,,,線幅
CH1,"CH1","M",DC,10V,Off,+5.000,-5.000,V,28,5,6,0
CH2,"CH2","M",DC,10V,Off,+5.000,-5.000,V,0,13,23,0
XY設定
XY,トレース,X軸,Y軸
XY1,On,CH1,CH2
XY2,Off,CH1,CH3
XY3,Off,CH1,CH4
XY4,Off,CH1,CH2
ポジション・バーニア設定
CH,ポジション,バーニア
CH1,50%,100.0%
CH2,50%,100.0%
CH3,50%,100.0%
CH4,50%,100.0%
測定値
番号,日付,時間,us,CH1,CH2,Alarm,AlarmOut
NO.,Date,Time,us,"V","V","A1234","AO1234"
         1,2021/7/31,13:55:14,     0,- 0.046,- 0.109,LLLL,LLLL
         2,2021/7/31,13:55:15,     0,- 0.070,- 0.039,LLLL,LLLL
         3,2021/7/31,13:55:16,     0,- 0.069,- 0.082,LLLL,LLLL
         4,2021/7/31,13:55:17,     0,- 0.049,- 0.056,LLLL,LLLL
         5,2021/7/31,13:55:18,     0,- 0.040,- 0.046,LLLL,LLLL
         6,2021/7/31,13:55:19,     0,- 0.064,- 0.115,LLLL,LLLL
         7,2021/7/31,13:55:20,     0,- 0.025,- 0.094,LLLL,LLLL
         8,2021/7/31,13:55:21,     0,- 0.038,- 0.109,LLLL,LLLL
         9,2021/7/31,13:55:22,     0,- 0.048,- 0.097,LLLL,LLLL
        10,2021/7/31,13:55:23,     0,- 0.030,- 0.099,LLLL,LLLL
        11,2021/7/31,13:55:24,     0,- 0.009,- 0.144,LLLL,LLLL
        12,2021/7/31,13:55:25,     0,+ 0.002,- 0.107,LLLL,LLLL
        13,2021/7/31,13:55:26,     0,- 0.030,- 0.141,LLLL,LLLL
        14,2021/7/31,13:55:27,     0,- 0.041,- 0.063,LLLL,LLLL
        15,2021/7/31,13:55:28,     0,- 0.021,- 0.088,LLLL,LLLL
        16,2021/7/31,13:55:29,     0,- 0.032,- 0.078,LLLL,LLLL
        17,2021/7/31,13:55:30,     0,- 0.034,- 0.101,LLLL,LLLL
        18,2021/7/31,13:55:31,     0,- 0.045,- 0.177,LLLL,LLLL
        19,2021/7/31,13:55:32,     0,- 0.023,- 0.064,LLLL,LLLL
        20,2021/7/31,13:55:33,     0,- 0.028,- 0.074,LLLL,LLLL
        21,2021/7/31,13:55:34,     0,- 0.194,- 0.025,LLLL,LLLL
        22,2021/7/31,13:55:35,     0,+ 0.053,- 0.141,LLLL,LLLL
        23,2021/7/31,13:55:36,     0,- 0.138,+ 0.049,LLLL,LLLL
        24,2021/7/31,13:55:37,     0,+ 0.105,- 0.174,LLLL,LLLL
        25,2021/7/31,13:55:38,     0,+ 0.012,+ 0.010,LLLL,LLLL
        26,2021/7/31,13:55:39,     0,+ 0.156,- 0.054,LLLL,LLLL
        27,2021/7/31,13:55:40,     0,- 0.166,+ 0.078,LLLL,LLLL
        28,2021/7/31,13:55:41,     0,- 0.037,+ 0.177,LLLL,LLLL
        29,2021/7/31,13:55:42,     0,+ 0.040,- 0.065,LLLL,LLLL
        30,2021/7/31,13:55:43,     0,+ 0.003,- 0.195,LLLL,LLLL
        31,2021/7/31,13:55:44,     0,- 0.143,- 0.046,LLLL,LLLL
        32,2021/7/31,13:55:45,     0,- 0.206,+ 0.012,LLLL,LLLL
        33,2021/7/31,13:55:46,     0,- 0.045,+ 0.099,LLLL,LLLL
        34,2021/7/31,13:55:47,     0,+ 0.179,- 0.242,LLLL,LLLL
        35,2021/7/31,13:55:48,     0,+ 0.005,- 0.140,LLLL,LLLL
        36,2021/7/31,13:55:49,     0,+ 0.068,- 0.029,LLLL,LLLL
        37,2021/7/31,13:55:50,     0,+ 0.045,- 0.050,LLLL,LLLL
        38,2021/7/31,13:55:51,     0,+ 0.144,+ 0.094,LLLL,LLLL
        39,2021/7/31,13:55:52,     0,- 0.048,+ 0.031,LLLL,LLLL
        40,2021/7/31,13:55:53,     0,+ 0.166,- 0.258,LLLL,LLLL
        41,2021/7/31,13:55:54,     0,+ 0.028,- 0.131,LLLL,LLLL
        42,2021/7/31,13:55:55,     0,+ 0.136,- 0.192,LLLL,LLLL
        43,2021/7/31,13:55:56,     0,+ 0.057,- 0.051,LLLL,LLLL
        44,2021/7/31,13:55:57,     0,- 0.287,- 0.013,LLLL,LLLL
        45,2021/7/31,13:55:58,     0,- 0.085,+ 0.319,LLLL,LLLL
