-30.0,-0.272798,-0.280667,-0.553465,0.157500,0.171561,0.329061,0.643898
-29.9,-0.273072,-0.280916,-0.553989,0.157024,0.171100,0.328124,0.643870
-29.8,-0.273346,-0.281165,-0.554511,0.156547,0.170638,0.327185,0.643842
-29.7,-0.273619,-0.281412,-0.555031,0.156069,0.170176,0.326245,0.643813
-29.6,-0.273891,-0.281659,-0.555549,0.155592,0.169713,0.325304,0.643784
-29.5,-0.274162,-0.281904,-0.556066,0.155113,0.169249,0.324363,0.643755
-29.4,-0.274432,-0.282149,-0.556582,0.154635,0.168785,0.323420,0.643726
-29.3,-0.274702,-0.282393,-0.557095,0.154155,0.168321,0.322476,0.643697
-29.2,-0.274970,-0.282636,-0.557607,0.153676,0.167856,0.321532,0.643668
-29.1,-0.275238,-0.282879,-0.558117,0.153196,0.167391,0.320586,0.643638
-29.0,-0.275505,-0.283120,-0.558625,0.152715,0.166925,0.319640,0.643608
-28.9,-0.275771,-0.283361,-0.559132,0.152234,0.166458,0.318692,0.643578
-28.8,-0.276037,-0.283600,-0.559637,0.151752,0.165991,0.317743,0.643548
-28.7,-0.276301,-0.283839,-0.560140,0.151270,0.165524,0.316794,0.643518
-28.6,-0.276565,-0.284077,-0.560642,0.150788,0.165056,0.315843,0.643488
-28.5,-0.276827,-0.284314,-0.561142,0.150305,0.164587,0.314892,0.643457
-28.4,-0.277089,-0.284551,-0.561640,0.149822,0.164118,0.313940,0.643426
-28.3,-0.277350,-0.284786,-0.562136,0.149338,0.163649,0.312986,0.643395
-28.2,-0.277611,-0.285021,-0.562631,0.148853,0.163179,0.312032,0.643364
-28.1,-0.277870,-0.285254,-0.563124,0.148369,0.162708,0.311077,0.643333
-28.0,-0.278128,-0.285487,-0.563615,0.147884,0.162237,0.310121,0.643302
-27.9,-0.278386,-0.285719,-0.564105,0.147398,0.161765,0.309163,0.643270
-27.8,-0.278643,-0.285950,-0.564593,0.146912,0.161294,0.308205,0.643238
-27.7,-0.278899,-0.286180,-0.565079,0.146425,0.160821,0.307246,0.643207
-27.6,-0.279154,-0.286409,-0.565564,0.145938,0.160348,0.306286,0.643174
-27.5,-0.279408,-0.286638,-0.566046,0.145451,0.159875,0.305325,0.643142
-27.4,-0.279662,-0.286865,-0.566527,0.144963,0.159401,0.304364,0.643110
-27.3,-0.279914,-0.287092,-0.567006,0.144475,0.158926,0.303401,0.643077
-27.2,-0.280166,-0.287318,-0.567484,0.143986,0.158451,0.302437,0.643045
-27.1,-0.280417,-0.287543,-0.567960,0.143497,0.157976,0.301473,0.643012
-27.0,-0.280667,-0.287767,-0.568434,0.143007,0.157500,0.300507,0.642979
-26.9,-0.280916,-0.287990,-0.568906,0.142517,0.157024,0.299541,0.642945
-26.8,-0.281165,-0.288212,-0.569377,0.142026,0.156547,0.298573,0.642912
